id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
1	39.966000	-1.584380	6.285500		2		0.341	0.1055
2	39.963190	-1.566050	1.032300		2		1.084	0.3358
3	39.970390	-1.568790	5.648900		3		0.807	0.2501
4	39.970430	-1.569420	5.648900		3		0.770	0.2384
5	39.966980	-1.586800	3.808400		2		0.376	0.1164
177	39.985050	-1.579560	5.243700		3		0.843	0.2611
445	39.972190	-1.580150	3.128055		3		0.136	0.0422
451	39.962140	-1.564490	0.434500		3		1.196	0.3704
558	39.975380	-1.577020	0.327300		3		0.398	0.1234
653	39.959140	-1.585830	3.694000		2		0.758	0.2348
794	39.963170	-1.563760	0.363100		3		1.209	0.3745
1145	39.970450	-1.568940	3.708600		2		0.798	0.2473
1266	39.956160	-1.578680	5.447600		2		0.930	0.2880
1267	39.969980	-1.570040	4.944100		2		0.735	0.2276
1322	39.985220	-1.579390	4.946260		2		0.855	0.2648
1335	39.970550	-1.569380	4.949833		2		0.772	0.2390
1386	39.962720	-1.586000	4.882000		2		0.560	0.1733
1515	39.973220	-1.577150	0.967900		2		0.326	0.1011
1592	39.970390	-1.569640	3.708600		2		0.757	0.2343
1919	39.971400	-1.588020	4.944100		2		0.348	0.1078
2093	39.984590	-1.576190	0.916000		2		0.878	0.2720
2085	39.977330	-1.599590	0.804700		2		1.104	0.3420
2159	39.974750	-1.599190	3.279700		3		1.040	0.3220
2510	39.973430	-1.598810	0.000000		3		1.004	0.3110
2526	39.973150	-1.598060	0.369553		1		0.957	0.2965
2577	39.976960	-1.598620	0.370200		3		1.042	0.3227
2615	39.975600	-1.597740	0.369200		3		0.967	0.2995
2653	39.971900	-1.597410	0.323900		3		0.912	0.2826
2714	39.973220	-1.599130	0.374700		3		1.021	0.3164
2914	39.970610	-1.597300	0.000000		3		0.906	0.2805
3246	39.965420	-1.594580	0.422400		3		0.820	0.2540
3295	39.976970	-1.596210	0.380300		3		0.907	0.2809
3313	39.976500	-1.594960	0.563500		3		0.827	0.2561
3353	39.967190	-1.594610	0.242300		3		0.782	0.2423
3388	39.969920	-1.597110	0.000000		3		0.897	0.2778
3402	39.974090	-1.594510	0.374600		3		0.757	0.2344
3407	39.961880	-1.595390	0.735100		3		0.970	0.3004
3421	39.970510	-1.594450	1.339900		3		0.735	0.2277
3539	39.964220	-1.594750	0.377029		2		0.862	0.2670
3553	39.980300	-1.593280	0.737200		3		0.857	0.2656
3723	39.962480	-1.592460	4.165300		2		0.809	0.2505
3774	39.970820	-1.597420	0.256700		2		0.912	0.2826
3811	39.972130	-1.594310	0.376400		3		0.727	0.2253
3876	39.970130	-1.592570	1.256300		3		0.625	0.1935
3895	39.967300	-1.592420	0.382059		2		0.656	0.2033
3899	39.975630	-1.592070	1.192900		3		0.647	0.2003
3918	39.980080	-1.591360	4.165300		3		0.762	0.2361
3962	39.961460	-1.591810	0.594500		3		0.822	0.2546
3982	39.973200	-1.591300	1.058100		3		0.557	0.1726
3996	39.979730	-1.591390	1.246700		3		0.749	0.2321
4032	39.961400	-1.593400	0.383200		3		0.894	0.2769
4115	39.981100	-1.590620	0.826500		3		0.777	0.2405
4117	39.971600	-1.591350	0.384700		2		0.548	0.1698
4126	39.976780	-1.590600	0.732200		3		0.602	0.1866
4139	39.977350	-1.591620	1.965500		3		0.672	0.2082
4190	39.981490	-1.590610	1.195900		3		0.794	0.2460
4195	39.980560	-1.591570	1.195900		2		0.792	0.2452
4296	39.976930	-1.590990	0.422419		3		0.627	0.1942
4311	39.978620	-1.591040	0.378800		3		0.690	0.2136
4348	39.967360	-1.590480	0.374700		3		0.548	0.1697
4379	39.969570	-1.593120	0.304400		3		0.662	0.2050
4410	39.967230	-1.589920	0.803800		3		0.521	0.1614
4453	39.977460	-1.590260	0.364300		3		0.609	0.1888
4454	39.967850	-1.589730	0.367402		2		0.495	0.1532
4476	39.964300	-1.591210	0.366800		3		0.682	0.2112
4506	39.979250	-1.590310	1.450000		3		0.683	0.2114
4517	39.970960	-1.589210	1.277300		3		0.420	0.1300
4542	39.964390	-1.590420	0.595000		3		0.641	0.1987
4585	39.973480	-1.589040	1.277500		3		0.431	0.1333
4602	39.976060	-1.589310	1.339700		3		0.514	0.1592
4651	39.969110	-1.589050	1.277400		3		0.429	0.1330
4652	39.969760	-1.588540	4.254489		3		0.390	0.1207
4662	39.969360	-1.589630	0.603352		3		0.459	0.1421
4740	39.968230	-1.591570	0.363600		3		0.590	0.1826
4770	39.966220	-1.588000	4.878610		2		0.460	0.1424
4799	39.979120	-1.589860	0.422400		3		0.658	0.2038
4802	39.971810	-1.588040	5.246250		2		0.351	0.1087
4806	39.964670	-1.590350	0.381700		3		0.627	0.1944
4840	39.963800	-1.588250	0.804800		3		0.575	0.1781
4850	39.972000	-1.587870	5.648900		3		0.342	0.1059
4854	39.963920	-1.588050	3.771961		3		0.562	0.1740
4914	39.977470	-1.588720	0.372800		2		0.540	0.1672
4930	39.965280	-1.587810	5.750500		3		0.491	0.1520
4976	39.961780	-1.588450	0.376328		1		0.680	0.2106
4986	39.982050	-1.587400	0.386500		3		0.718	0.2225
5004	39.978740	-1.588220	0.384100		2		0.576	0.1783
5015	39.980600	-1.588750	0.396600		3		0.684	0.2119
5051	39.982670	-1.588780	0.384300		3		0.790	0.2447
5078	39.975820	-1.587060	4.427068		3		0.399	0.1237
5090	39.973210	-1.587430	4.336048		2		0.334	0.1034
5091	39.971900	-1.587010	3.706920		3		0.290	0.0898
5109	39.972240	-1.589310	0.346400		3		0.430	0.1330
5148	39.969750	-1.587810	0.373955		2		0.347	0.1076
5184	39.973930	-1.587310	0.000000		3		0.345	0.1069
5199	39.963620	-1.586880	5.750500		3		0.536	0.1661
5242	39.981970	-1.588920	0.000000		3		0.758	0.2349
5247	39.980310	-1.587530	0.365500		1		0.630	0.1951
5263	39.968910	-1.587110	0.580200		3		0.325	0.1007
5325	39.982160	-1.587370	0.386379		3		0.724	0.2241
5326	39.975370	-1.586960	0.369700		3		0.377	0.1167
5333	39.959040	-1.586310	0.305200		3		0.772	0.2392
5339	39.975200	-1.587920	0.378100		3		0.416	0.1289
5369	39.974420	-1.586090	3.127700		3		0.300	0.0930
5373	39.961670	-1.586570	0.680300		3		0.631	0.1955
5380	39.967550	-1.586100	0.680186		3		0.322	0.0996
5398	39.965940	-1.589310	0.305000		3		0.531	0.1646
5455	39.958860	-1.587320	0.305100		3		0.804	0.2489
5458	39.959350	-1.586800	1.196900		3		0.765	0.2369
5464	39.957530	-1.586480	0.372734		2		0.862	0.2669
5495	39.960770	-1.585870	0.423600		3		0.666	0.2062
5523	39.974240	-1.585600	3.128900		3		0.271	0.0839
5535	39.967970	-1.586150	0.680200		3		0.307	0.0951
5549	39.968770	-1.585630	2.751200		2		0.253	0.0784
5586	39.957560	-1.585690	0.000000		2		0.847	0.2624
5645	39.977980	-1.584870	0.386143		3		0.434	0.1344
5674	39.971020	-1.585790	0.367671		3		0.215	0.0665
5706	39.966420	-1.585580	1.203700		2		0.353	0.1093
5746	39.972700	-1.586730	0.361200		2		0.284	0.0880
5783	39.978090	-1.585280	1.060400		3		0.449	0.1392
5798	39.970370	-1.585980	0.000000		3		0.232	0.0718
5822	39.967060	-1.584550	2.910000		3		0.288	0.0891
5833	39.971830	-1.586080	0.371100		3		0.234	0.0725
5840	39.954120	-1.584290	3.836700		2		1.035	0.3206
5860	39.971120	-1.586900	0.375300		3		0.281	0.0870
5877	39.984400	-1.584110	3.774300		2		0.797	0.2468
5888	39.977250	-1.584320	0.384600		3		0.381	0.1181
5902	39.967430	-1.587180	0.325900		3		0.376	0.1163
5961	39.980000	-1.584700	1.046200		3		0.545	0.1690
5964	39.977100	-1.583680	0.385900		3		0.362	0.1120
5982	39.971960	-1.584250	0.369521		3		0.129	0.0400
6006	39.968740	-1.584510	0.725100		3		0.204	0.0631
6023	39.969130	-1.584980	0.374300		3		0.209	0.0647
6024	39.955510	-1.584170	1.193600		3		0.951	0.2947
6025	39.971820	-1.583980	0.373700		3		0.111	0.0344
6034	39.966250	-1.583850	0.324800		3		0.315	0.0977
