id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
J041531.2-241516	63.879843	-24.254507	0.464800		3		14.175	4.5416
J041615.9-241539	64.066112	-24.261057	0.344800		3		11.712	3.7525
J041614.3-241542	64.059571	-24.261808	0.302100		3		11.715	3.7536
J041654.3-241545	64.226374	-24.262606	0.307800		3		15.594	4.9965
J041521.3-241510	63.838858	-24.252900	0.300900		3		15.578	4.9914
J041610.1-241543	64.041928	-24.262141	0.723100		3		11.678	3.7417
J041543.4-241517	63.930875	-24.254946	0.190200		3		12.685	4.0643
J041614.1-241547	64.058570	-24.263075	0.300900		3		11.785	3.7761
J041632.5-241547	64.135563	-24.263133	0.508200		3		12.891	4.1303
J041619.0-241545	64.079154	-24.262658	0.299900		2		11.921	3.8194
J041651.3-241545	64.213629	-24.262702	0.831800		3		15.147	4.8531
J041607.6-241540	64.031720	-24.261184	0.476800		3		11.624	3.7244
J041703.9-241541	64.266216	-24.261450	0.434700		3		17.067	5.4683
J041621.4-241536	64.089356	-24.260085	0.466200		3		11.888	3.8091
J041603.5-241542	64.014516	-24.261907	0.467600		3		11.733	3.7594
J041636.6-241542	64.152689	-24.261884	0.791400		9		13.240	4.2422
J041554.6-241544	63.977335	-24.262383	0.455800		2		12.155	3.8945
J041618.2-241516	64.075836	-24.254521	0.385700		3		11.407	3.6549
J041655.5-241530	64.231110	-24.258611	0.305300		3		15.590	4.9951
J041619.8-241540	64.082391	-24.261361	0.561500		9		11.879	3.8061
J041653.6-241532	64.223279	-24.259070	0.303000		3		15.323	4.9096
J041549.8-241535	63.957547	-24.259960	0.418800		2		12.359	3.9599
J041651.5-241533	64.214519	-24.259369	0.267200		3		15.024	4.8138
J041655.4-241536	64.230992	-24.260113	0.483400		3		15.652	5.0149
J041554.0-241539	63.974799	-24.260944	0.465000		3		12.111	3.8804
J041607.9-241539	64.032889	-24.260857	0.395000		9		11.603	3.7175
J041616.1-241505	64.067191	-24.251639	0.388800		3		11.160	3.5757
J041618.9-241524	64.078927	-24.256714	0.233200		3		11.568	3.7065
J041705.0-241530	64.270757	-24.258588	0.304500		3		17.134	5.4899
J041615.0-241529	64.062482	-24.258250	0.537400		3		11.520	3.6911
J041548.8-241535	63.953355	-24.259852	0.382900		3		12.437	3.9848
J041541.8-241530	63.924130	-24.258411	0.356000		3		13.042	4.1787
J041605.0-241514	64.021030	-24.253957	0.463300		3		11.224	3.5962
J041616.6-241509	64.069189	-24.252768	0.484800		2		11.243	3.6023
J041642.9-241535	64.178611	-24.259920	0.510700		3		13.870	4.4441
J041537.2-241517	63.905150	-24.254903	0.137700		3		13.393	4.2911
J041610.3-241535	64.043067	-24.259773	0.435600		3		11.537	3.6966
J041704.8-241529	64.270204	-24.258291	0.000000		2		17.100	5.4789
J041543.2-241530	63.930163	-24.258448	0.431800		3		12.889	4.1298
J041651.3-241530	64.213769	-24.258484	0.304100		3		14.957	4.7923
J041633.4-241533	64.138983	-24.259169	0.135500		3		12.755	4.0867
J041603.2-241529	64.013525	-24.258239	0.176600		3		11.521	3.6913
J041535.8-241522	63.899018	-24.256145	0.266500		3		13.640	4.3703
J041552.8-241526	63.969911	-24.257490	0.634500		3		11.993	3.8426
J041559.7-241531	63.998671	-24.258648	0.420700		2		11.668	3.7385
J041604.3-241523	64.017793	-24.256467	0.276000		3		11.390	3.6494
J041652.4-241531	64.218174	-24.258629	0.307200		3		15.120	4.8444
J041556.0-241509	63.983157	-24.252706	0.419300		3		11.510	3.6879
J041554.7-241527	63.978063	-24.257701	0.466300		3		11.874	3.8044
J041702.1-241529	64.258807	-24.258061	0.306600		2		16.632	5.3290
J041614.9-241516	64.062140	-24.254527	0.389400		3		11.296	3.6193
J041559.0-241520	63.995763	-24.255826	0.299600		3		11.533	3.6951
J041545.1-241529	63.937919	-24.258062	0.432500		3		12.679	4.0625
J041537.5-241521	63.906053	-24.255957	0.395500		2		13.419	4.2996
J041546.0-241524	63.941785	-24.256805	1.061200		9		12.521	4.0117
J041536.0-241530	63.899894	-24.258370	0.385600		9		13.724	4.3973
J041649.8-241525	64.207294	-24.257205	0.301400		2		14.672	4.7010
J041620.5-241524	64.085358	-24.256812	0.232900		3		11.647	3.7318
J041524.8-241501	63.853172	-24.250486	0.448000		3		14.933	4.7847
J041702.4-241503	64.260055	-24.250966	0.306300		3		16.393	5.2525
J041703.6-241517	64.264800	-24.254757	0.307200		2		16.738	5.3630
J041518.6-241526	63.827391	-24.257458	0.355700		3		16.215	5.1954
J041612.9-241524	64.053928	-24.256759	0.635400		9		11.386	3.6481
J041537.3-241513	63.905521	-24.253730	0.382500		3		13.323	4.2686
J041636.5-241522	64.151972	-24.256332	0.350500		3		12.929	4.1425
J041519.7-241525	63.832194	-24.257113	2.991000		2		16.014	5.1311
J041548.7-241518	63.952933	-24.255047	0.420900		3		12.179	3.9021
J041641.3-241522	64.172147	-24.256156	0.615500		9		13.487	4.3214
J041600.1-241524	64.000488	-24.256919	0.421300		3		11.548	3.7000
J041701.5-241519	64.256103	-24.255553	0.302100		3		16.421	5.2614
J041558.6-241523	63.994219	-24.256489	0.569900		3		11.589	3.7131
J041603.0-241522	64.012409	-24.256286	0.303000		3		11.412	3.6564
J041535.5-241514	63.897759	-24.253989	0.299600		3		13.572	4.3484
J041523.3-241514	63.847075	-24.254057	0.503700		3		15.317	4.9077
J041657.6-241516	64.240139	-24.254542	0.594300		3		15.754	5.0478
J041649.9-241516	64.207722	-24.254476	0.305300		3		14.560	4.6652
J041632.0-241516	64.133482	-24.254581	0.489900		3		12.377	3.9657
J041537.9-241513	63.907736	-24.253774	0.251500		3		13.259	4.2483
