recno	MACSg	RAJ2000	DEJ2000	z	e_z	EmLT	Inst	CXO	MACS	Simbad
      66	J071639.04+374808.3	109.162666	+37.802311	 0.3498	 0.0003	A  	D	   	J0717.5+3745	Simbad
      67	J071641.52+374855.3	109.172997	+37.815361	 0.8555	 0.0003	A  	D	   	J0717.5+3745	Simbad
      68	J071642.04+374852.6	109.175163	+37.814610	 0.3349	 0.0003	A  	D	   	J0717.5+3745	Simbad
      69	J071644.13+374601.5	109.183876	+37.767078	 0.3349	 0.0003	A  	D	   	J0717.5+3745	Simbad
      70	J071644.50+374921.0	109.185417	+37.822498	 0.3351	 0.0003	E  	D	   	J0717.5+3745	Simbad
      71	J071644.58+374542.2	109.185753	+37.761719	 0.2603	 0.0003	A  	D	   	J0717.5+3745	Simbad
      72	J071644.81+374734.5	109.186707	+37.792919	 0.4610	 0.0003	A  	D	   	J0717.5+3745	Simbad
      73	J071644.93+374900.8	109.187210	+37.816891	 0.3358	 0.0003	E+A	D	   	J0717.5+3745	Simbad
      74	J071645.64+374123.5	109.190170	+37.689861	 0.5426	 0.0003	A  	D	   	J0717.5+3745	Simbad
      75	J071645.96+374622.3	109.191498	+37.772861	 0.6130	 0.0003	E  	D	   	J0717.5+3745	Simbad
      76	J071647.05+374008.1	109.196045	+37.668911	 0.5382	 0.0003	E  	D	   	J0717.5+3745	Simbad
      77	J071647.34+374107.7	109.197250	+37.685471	 0.5436	 0.0003	A  	D	   	J0717.5+3745	Simbad
      78	J071647.59+374007.7	109.198288	+37.668800	 0.3665	 0.0003	E  	D	   	J0717.5+3745	Simbad
      79	J071647.91+374652.6	109.199623	+37.781281	 0.4611	 0.0003	E  	D	   	J0717.5+3745	Simbad
      80	J071648.22+374540.5	109.200920	+37.761250	 0.4023	 0.0003	E  	D	   	J0717.5+3745	Simbad
      81	J071649.25+375121.7	109.205208	+37.856030	 0.5137	 0.0005	E  	D	   	J0717.5+3745	Simbad
      82	J071649.35+374018.2	109.205627	+37.671719	 0.5433	 0.0003	A  	D	   	J0717.5+3745	Simbad
      83	J071649.45+374544.4	109.206039	+37.762329	 0.5150	 0.0003	E  	D	   	J0717.5+3745	Simbad
      84	J071650.86+374618.5	109.211914	+37.771801	 0.3352	 0.0005	E  	D	   	J0717.5+3745	Simbad
      85	J071651.01+374206.9	109.212540	+37.701920	 0.3343	 0.0003	A  	D	   	J0717.5+3745	Simbad
      86	J071651.24+375102.1	109.213493	+37.850578	 0.7245	 0.0010	E  	D	   	J0717.5+3745	Simbad
      87	J071651.40+375235.1	109.214165	+37.876419	 0.4200	 0.0005	E  	D	   	J0717.5+3745	Simbad
      88	J071652.54+374125.5	109.218918	+37.690418	 0.3479	 0.0003	A  	D	   	J0717.5+3745	Simbad
      89	J071652.98+374713.2	109.220749	+37.786999	 0.5161	 0.0003	E  	D	   	J0717.5+3745	Simbad
      90	J071653.50+374704.1	109.222916	+37.784470	 0.5152	 0.0003	E  	D	   	J0717.5+3745	Simbad
      91	J071654.07+374152.3	109.225288	+37.697861	 0.3462	 0.0003	A  	D	   	J0717.5+3745	Simbad
      92	J071654.29+374603.6	109.226212	+37.767670	 0.2606	 0.0003	A  	D	   	J0717.5+3745	Simbad
      93	J071654.89+374707.4	109.228706	+37.785389	 0.3398	 0.0003	E  	D	   	J0717.5+3745	Simbad
      94	J071655.04+374200.2	109.229332	+37.700050	 0.5468	 0.0003	E  	D	   	J0717.5+3745	Simbad
      95	J071655.34+374027.2	109.230583	+37.674221	 0.4903	 0.0010	E  	D	   	J0717.5+3745	Simbad
      96	J071655.52+374129.2	109.231331	+37.691441	 0.2399	 0.0005	E  	D	   	J0717.5+3745	Simbad
      97	J071657.21+374006.5	109.238373	+37.668468	 0.3451	 0.0003	A  	D	   	J0717.5+3745	Simbad
      98	J071657.36+374140.9	109.238998	+37.694691	 0.3189	 0.0003	E  	D	   	J0717.5+3745	Simbad
      99	J071657.89+373935.2	109.241211	+37.659779	 0.2634	 0.0010	E  	D	   	J0717.5+3745	Simbad
     100	J071657.95+374601.5	109.241455	+37.767078	 0.4192	 0.0003	E  	D	   	J0717.5+3745	Simbad
     101	J071658.04+374836.1	109.241837	+37.810032	 0.6104	 0.0003	A  	D	   	J0717.5+3745	Simbad
     102	J071658.35+374523.3	109.243126	+37.756470	 0.4193	 0.0003	A  	D	   	J0717.5+3745	Simbad
     103	J071658.81+375202.3	109.245041	+37.867310	 0.8102	 0.0010	E  	D	   	J0717.5+3745	Simbad
     104	J071658.86+374150.0	109.245247	+37.697220	 0.3458	 0.0003	A  	D	   	J0717.5+3745	Simbad
     105	J071659.13+375416.7	109.246376	+37.904640	 0.4177	 0.0003	A  	D	   	J0717.5+3745	Simbad
     106	J071659.34+374120.3	109.247253	+37.688969	 0.3454	 0.0003	A  	D	   	J0717.5+3745	Simbad
     107	J071700.08+374715.3	109.250336	+37.787579	 0.5412	 0.0003	A  	D	   	J0717.5+3745	Simbad
     108	J071700.25+374822.2	109.251045	+37.806171	 0.4207	 0.0003	E  	D	   	J0717.5+3745	Simbad
     109	J071700.47+375416.9	109.251961	+37.904690	 0.7142	 0.0003	E  	D	   	J0717.5+3745	Simbad
     110	J071701.83+374053.9	109.257622	+37.681641	 0.7182	 0.0003	E  	D	   	J0717.5+3745	Simbad
     111	J071701.88+375218.4	109.257835	+37.871780	 0.5543	 0.0010	E  	D	   	J0717.5+3745	Simbad
     112	J071702.69+374257.2	109.261208	+37.715889	 0.3472	 0.0003	A  	D	   	J0717.5+3745	Simbad
     113	J071702.90+373752.6	109.262085	+37.631279	 0.6953	 0.0010	E  	D	   	J0717.5+3745	Simbad
     114	J071702.98+373722.9	109.262413	+37.623039	 0.4597	 0.0003	E  	D	   	J0717.5+3745	Simbad
     115	J071702.98+374228.0	109.262413	+37.707779	 0.3500	 0.0003	A  	D	   	J0717.5+3745	Simbad
     116	J071703.19+374709.8	109.263290	+37.786060	 0.5525	 0.0003	A  	D	   	J0717.5+3745	Simbad
     117	J071703.61+373634.5	109.265045	+37.609581	 0.3879	 0.0003	A  	D	   	J0717.5+3745	Simbad
     118	J071703.65+374154.9	109.265205	+37.698582	 0.3539	 0.0003	E  	D	   	J0717.5+3745	Simbad
     119	J071703.97+373623.1	109.266541	+37.606411	 0.4977	 0.0003	E  	D	   	J0717.5+3745	Simbad
     120	J071704.32+374659.5	109.267998	+37.783199	 0.5512	 0.0005	A  	D	   	J0717.5+3745	Simbad
     121	J071704.34+374929.4	109.268082	+37.824829	 0.4936	 0.0003	A  	D	   	J0717.5+3745	Simbad
     122	J071704.56+373812.8	109.268997	+37.636890	 0.6751	 0.0010	E  	D	   	J0717.5+3745	Simbad
     123	J071704.64+373742.9	109.269333	+37.628578	 0.4605	 0.0005	E  	D	   	J0717.5+3745	Simbad
     124	J071704.65+373628.5	109.269379	+37.607922	 0.4310	 0.0003	A  	D	   	J0717.5+3745	Simbad
     125	J071705.50+373550.0	109.272919	+37.597221	 0.4314	 0.0005	E  	D	   	J0717.5+3745	Simbad
     126	J071706.32+374251.0	109.276337	+37.714169	 0.3506	 0.0003	A  	D	   	J0717.5+3745	Simbad
     127	J071706.54+374347.8	109.277252	+37.729950	 0.4214	 0.0003	A  	D	   	J0717.5+3745	Simbad
     128	J071706.96+373949.2	109.278999	+37.663670	 0.5407	 0.0003	E  	D	   	J0717.5+3745	Simbad
     129	J071707.07+373632.9	109.279457	+37.609138	 0.3395	 0.0003	A  	D	   	J0717.5+3745	Simbad
     130	J071707.19+374036.9	109.279961	+37.676922	 0.3840	 0.0005	E  	D	   	J0717.5+3745	Simbad
     131	J071707.23+373421.4	109.280128	+37.572609	 0.5433	 0.0003	A  	D	   	J0717.5+3745	Simbad
     132	J071707.68+375303.3	109.281998	+37.884251	 0.7235	 0.0003	E  	D	   	J0717.5+3745	Simbad
     133	J071707.73+373554.0	109.282211	+37.598331	 0.3903	 0.0003	A  	D	   	J0717.5+3745	Simbad
     134	J071707.80+373535.6	109.282501	+37.593220	 0.7510	 0.0005	A  	D	   	J0717.5+3745	Simbad
     135	J071708.05+374323.1	109.283539	+37.723080	 0.7066	 0.0003	E  	D	   	J0717.5+3745	Simbad
     136	J071708.16+374732.1	109.283997	+37.792252	 0.7204	 0.0010	E  	D	   	J0717.5+3745	Simbad
     137	J071708.22+374000.6	109.284241	+37.666840	 0.4925	 0.0003	E  	D	   	J0717.5+3745	Simbad
     138	J071708.26+373721.0	109.284416	+37.622501	 0.5462	 0.0005	E  	D	   	J0717.5+3745	Simbad
     139	J071708.29+374558.0	109.284538	+37.766109	 0.5424	 0.0003	E  	D	   	J0717.5+3745	Simbad
     140	J071708.40+373407.7	109.285004	+37.568810	 0.4421	 0.0003	E  	D	   	J0717.5+3745	Simbad
     141	J071708.61+373601.2	109.285873	+37.600330	 0.5420	 0.0003	E  	D	   	J0717.5+3745	Simbad
     142	J071708.64+375242.5	109.286003	+37.878471	 0.6084	 0.0003	E  	D	   	J0717.5+3745	Simbad
     143	J071709.33+373415.1	109.288872	+37.570862	 0.5440	 0.0003	A  	D	   	J0717.5+3745	Simbad
     144	J071709.38+374710.0	109.289085	+37.786110	 0.7047	 0.0003	E  	D	   	J0717.5+3745	Simbad
     145	J071709.65+374111.1	109.290207	+37.686420	 0.3857	 0.0003	E  	D	   	J0717.5+3745	Simbad
     146	J071709.71+374312.2	109.290466	+37.720051	 0.6598	 0.0010	E  	D	   	J0717.5+3745	Simbad
     147	J071709.78+374153.1	109.290749	+37.698078	 0.3464	 0.0003	E  	D	   	J0717.5+3745	Simbad
     148	J071709.80+374721.4	109.290833	+37.789280	 0.6662	 0.0003	E  	D	   	J0717.5+3745	Simbad
     149	J071710.00+373437.5	109.291664	+37.577080	 0.5473	 0.0003	E  	D	   	J0717.5+3745	Simbad
     150	J071710.23+373708.0	109.292625	+37.618889	 0.8117	 0.0003	E  	D	   	J0717.5+3745	Simbad
     151	J071710.38+374035.8	109.293251	+37.676609	 0.3864	 0.0003	A  	D	   	J0717.5+3745	Simbad
     152	J071710.39+373621.4	109.293297	+37.605949	 2.0963	 0.0010	E  	D	   	J0717.5+3745	Simbad
