id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
00036	109.392936	37.770498	0.000000		4.0		1.043	0.3999
00055	109.398102	37.770417	0.878500		3.5		1.184	0.4538
00057	109.400386	37.770271	0.000000		3.0		1.252	0.4798
00145	109.402300	37.766628	1.357500		2.0		1.183	0.4532
00173	109.398485	37.766442	0.556000		3.0		1.031	0.3950
00234	109.396396	37.764684	0.549000		4.0		0.887	0.3401
00236	109.393665	37.764470	0.390000		4.0		0.781	0.2992
00272	109.394006	37.764400	0.389500		4.0		0.790	0.3027
00273	109.405147	37.764210	0.000000		4.0		1.229	0.4708
00299	109.391083	37.763095	1.900000		1.5		0.635	0.2435
00307	109.396197	37.763354	2.540000		4.0		0.833	0.3192
00329	109.382203	37.763015	0.000000		4.0		0.448	0.1717
00333	109.394271	37.762991	1.385000		3.0		0.746	0.2858
00341	109.399857	37.762766	1.471500		4.0		0.965	0.3698
00342	109.399914	37.762455	0.430000		1.0		0.959	0.3676
00347	109.393139	37.762823	0.634000		2.0		0.697	0.2671
00354	109.388647	37.762479	2.110000		2.0		0.531	0.2035
00355	109.388080	37.762062	0.909000		4.0		0.495	0.1896
00373	109.374197	37.761062	0.000000		4.0		0.484	0.1856
00392	109.404116	37.761686	0.000000		4.0		1.126	0.4317
00397	109.396193	37.760425	1.854000		4.0		0.748	0.2867
92358	109.396992	37.761067			0.0		0.798	0.3060
00399	109.396764	37.761588	1.687000		4.0		0.802	0.3074
00406	109.379200	37.759657			0.0		0.272	0.1044
00415	109.381264	37.759931	0.000000		3.0		0.263	0.1008
00425	109.392275	37.761689	0.000000		4.0		0.623	0.2388
00431	109.402458	37.761132	0.549500		4.0		1.041	0.3990
00450	109.405762	37.759670	0.596500		2.5		1.169	0.4481
00454	109.402951	37.760134	1.689500		4.0		1.046	0.4009
00465	109.391388	37.760101	1.805000		2.0		0.535	0.2052
00466	109.391233	37.760718	1.710000		3.0		0.549	0.2105
00488	109.409303	37.760218	0.665000		3.0		1.340	0.5136
00495	109.394789	37.759882	0.574000		2.0		0.674	0.2584
00537	109.374876	37.759637	0.654000		1.5		0.405	0.1551
00579	109.391906	37.758381	1.174000		3.5		0.514	0.1971
00596	109.407315	37.758350	0.547500		3.5		1.228	0.4706
00597	109.406653	37.758629	0.548000		1.0		1.199	0.4596
00624	109.389348	37.758030	0.572500		3.0		0.393	0.1507
00654	109.380032	37.757821	0.000000		3.0		0.156	0.0599
00665	109.373957	37.756874			0.0		0.374	0.1434
00674	109.395726	37.757596	0.574000		3.0		0.678	0.2598
00680	109.377602	37.757223			0.0		0.217	0.0833
00682	109.414762	37.757314			0.0		1.573	0.6029
00697	109.400317	37.755032	0.000000		4.0		0.885	0.3392
00698	109.400638	37.754668			0.0		0.901	0.3454
00702	109.413002	37.757055	0.950000		3.0		1.489	0.5706
91715	109.392622	37.757908	1.359000		2.0		0.538	0.2063
00754	109.393991	37.755645			0.0		0.584	0.2240
00790	109.404506	37.756179	1.119000		2.0		1.084	0.4154
92099	109.386228	37.755586	0.825000		2.0		0.216	0.0829
00821	109.386139	37.755000	0.000000		4.0		0.215	0.0823
00823	109.386274	37.754725	0.000000		4.0		0.224	0.0859
00846	109.383606	37.755075	0.539500		2.5		0.096	0.0369
00850	109.403510	37.748330			0.0		1.123	0.4305
00896	109.379790	37.754373	0.732000		1.0		0.114	0.0437
00902	109.385125	37.751817	1.710000		3.0		0.278	0.1066
00918	109.410702	37.753876	0.000000		4.0		1.381	0.5292
00923	109.407160	37.753835	1.855000		4.0		1.214	0.4651
00950	109.389698	37.755483	0.000000		4.0		0.381	0.1459
00977	109.411932	37.755555	0.567000		3.5		1.436	0.5502
91453	109.407591	37.751990	1.890000		2.0		1.248	0.4783
00987	109.407912	37.752732			0.0		1.256	0.4815
00998	109.408930	37.753032			0.0		1.302	0.4990
01002	109.369558	37.752739	0.645000		2.0		0.599	0.2295
01007	109.388805	37.752159	1.853000		3.5		0.395	0.1515
01009	109.389233	37.751423			0.0		0.436	0.1672
01029	109.379396	37.748976	1.270000		2.0		0.410	0.1569
01031	109.377824	37.753223	0.000000		4.0		0.230	0.0882
01036	109.365143	37.751562			0.0		0.820	0.3142
01060	109.385454	37.753126	1.446500		2.0		0.231	0.0887
