#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T12:26:54 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T12:26:54	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/661/A2/efeds_cl&-out=ID,RAJ2000,DEJ2000,z,T300kpc&-out.max=1000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610002
#Name: J/A+A/661/A2
#Title: Galaxy clusters and groups in eFEDS (Liu+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a2	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/661/a2	    IVOID of underlying data collection
#INFO	creator=Liu A.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A...2L	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A2	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610002	    Dataset identifier that can be used for citation
#INFO	publication_date=2023-06-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A2_efeds_cl:
#Name: J/A+A/661/A2/efeds_cl
#Title: eFEDS cluster catalog
#Column	ID	(A22)	Cluster ID (eFEDS JHHMMSS.s+DDMMSS)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F6.3)	Redshift	[ucd=src.redshift]
#Column	T300kpc	(F5.2)	? Temperature within 300kpc	[ucd=phys.temperature]
ID	RAJ2000	DEJ2000	z	T300kpc
 	deg	deg	 	keV
----------------------	--------	--------	------	-----
eFEDS J082626.5-003429	126.6108	-00.5748	 0.161	
eFEDS J082751.7-002853	126.9655	-00.4816	 0.257	
eFEDS J082808.7-001003	127.0366	-00.1677	 0.076	 0.89
eFEDS J082820.5-000721	127.0856	-00.1228	 0.845	
eFEDS J082840.6-000500	127.1692	-00.0836	 0.320	
eFEDS J082859.9+010756	127.2500	+01.1323	 0.354	
eFEDS J082952.7+002139	127.4697	+00.3611	 0.420	
eFEDS J082955.4+004131	127.4810	+00.6922	 0.940	
eFEDS J083040.7+023219	127.6697	+02.5388	 0.111	
eFEDS J083110.5+015616	127.7940	+01.9378	 0.420	
eFEDS J083120.5+005257	127.8354	+00.8825	 0.664	
eFEDS J083120.5+030949	127.8355	+03.1639	 0.568	
eFEDS J083125.9+015533	127.8580	+01.9259	 0.684	
eFEDS J083137.9+004632	127.9081	+00.7758	 0.293	
eFEDS J083146.7-012849	127.9449	-01.4805	 0.050	
eFEDS J083149.4+005230	127.9559	+00.8751	 0.398	
eFEDS J083153.6+012530	127.9734	+01.4253	 0.269	
eFEDS J083204.4+041907	128.0185	+04.3188	 0.197	 2.79
eFEDS J083228.0-000656	128.1169	-00.1157	 0.421	
eFEDS J083238.8-003200	128.1617	-00.5336	 0.399	
eFEDS J083249.9+031737	128.2082	+03.2939	 0.828	
eFEDS J083310.2+030136	128.2928	+03.0269	 0.748	
eFEDS J083315.5+000623	128.3148	+00.1065	 0.470	
eFEDS J083321.1+012644	128.3382	+01.4456	 0.566	
eFEDS J083322.6-011128	128.3444	-01.1912	 0.288	
eFEDS J083330.4+050427	128.3767	+05.0744	 0.213	
eFEDS J083341.0-002943	128.4211	-00.4954	 0.318	
eFEDS J083345.8+004208	128.4409	+00.7025	 0.384	
eFEDS J083401.5-001337	128.5065	-00.2271	 0.314	
eFEDS J083402.5+023437	128.5105	+02.5772	 0.362	
eFEDS J083403.7+012131	128.5155	+01.3588	 0.671	
eFEDS J083412.7+035856	128.5530	+03.9825	 0.201	
eFEDS J083422.7+034537	128.5946	+03.7603	 0.338	
eFEDS J083427.0-015612	128.6129	-01.9369	 0.573	
eFEDS J083431.0+034208	128.6296	+03.7023	 0.215	
eFEDS J083435.6+050159	128.6484	+05.0332	 0.091	
eFEDS J083457.7+052033	128.7406	+05.3425	 0.410	
eFEDS J083503.2+010756	128.7636	+01.1325	 0.296	
eFEDS J083509.0+001542	128.7876	+00.2619	 0.597	
eFEDS J083532.5+030911	128.8858	+03.1533	 0.267	
eFEDS J083615.7+024420	129.0655	+02.7390	 0.569	
eFEDS J083626.4+043821	129.1100	+04.6394	 0.574	
eFEDS J083651.3+030002	129.2138	+03.0006	 0.192	 2.79
eFEDS J083654.6+025954	129.2277	+02.9984	 0.191	 2.55
eFEDS J083713.3+034110	129.3055	+03.6862	 1.000	
eFEDS J083723.6+012413	129.3487	+01.4037	 0.349	
eFEDS J083743.8-014128	129.4328	-01.6912	 1.043	
eFEDS J083757.1-014217	129.4880	-01.7049	 0.855	
eFEDS J083759.5-003643	129.4981	-00.6121	 0.451	
eFEDS J083802.9+015626	129.5124	+01.9407	 0.360	
eFEDS J083806.9-003600	129.5289	-00.6002	 0.420	
eFEDS J083807.6+002501	129.5321	+00.4171	 0.080	
eFEDS J083809.4-020450	129.5394	-02.0808	 0.550	
eFEDS J083810.1+031520	129.5422	+03.2558	 0.347	
eFEDS J083811.8-015934	129.5496	-01.9930	 0.560	 4.27
eFEDS J083817.4+041821	129.5727	+04.3060	 0.211	
eFEDS J083817.5-021704	129.5732	-02.2845	 0.565	
eFEDS J083834.1+020643	129.6425	+02.1121	 0.457	
eFEDS J083840.3+044416	129.6681	+04.7380	 0.455	
eFEDS J083840.6-004134	129.6694	-00.6930	 0.462	
eFEDS J083856.9+030743	129.7372	+03.1287	 0.241	
eFEDS J083857.5+020846	129.7398	+02.1464	 0.360	 2.81
eFEDS J083858.5-015032	129.7441	-01.8424	 0.135	
eFEDS J083859.3+022841	129.7473	+02.4782	 0.359	
eFEDS J083900.6+020057	129.7527	+02.0159	 0.359	 2.26
eFEDS J083903.5-011454	129.7649	-01.2485	 0.437	
eFEDS J083914.7-021226	129.8117	-02.2073	 0.187	
eFEDS J083916.7-020552	129.8198	-02.0979	 0.269	
eFEDS J083917.9-020839	129.8247	-02.1442	 0.269	
eFEDS J083921.0-014149	129.8377	-01.6970	 0.269	
eFEDS J083927.0-021357	129.8627	-02.2328	 0.567	
eFEDS J083929.0+043001	129.8711	+04.5003	 0.249	
eFEDS J083929.6-015005	129.8736	-01.8348	 0.575	
eFEDS J083930.3-014348	129.8763	-01.7302	 0.271	
eFEDS J083933.8-014044	129.8909	-01.6790	 0.272	 4.14
eFEDS J083936.0+011445	129.9001	+01.2459	 0.149	
eFEDS J083937.8+014631	129.9079	+01.7754	 0.389	
eFEDS J083940.8+010416	129.9201	+01.0714	 0.157	 1.44
eFEDS J083945.5+031556	129.9396	+03.2657	 0.425	
eFEDS J083955.0+022425	129.9793	+02.4071	 0.189	
eFEDS J084000.0-013109	130.0002	-01.5194	 0.266	
eFEDS J084001.6+042452	130.0070	+04.4145	 0.259	
eFEDS J084003.2+003008	130.0137	+00.5023	 0.385	
eFEDS J084004.8+013751	130.0203	+01.6309	 0.342	
eFEDS J084006.1+025913	130.0258	+02.9871	 0.456	
eFEDS J084011.6+034837	130.0487	+03.8104	 0.825	
eFEDS J084016.6+033951	130.0695	+03.6644	 0.805	
eFEDS J084021.6-022948	130.0901	-02.4967	 0.184	
eFEDS J084021.6+020132	130.0903	+02.0256	 0.357	
eFEDS J084034.5+023638	130.1441	+02.6108	 0.049	 0.80
eFEDS J084035.8+044036	130.1493	+04.6768	 0.793	
eFEDS J084044.7+024108	130.1863	+02.6858	 1.104	
eFEDS J084051.7+014122	130.2156	+01.6895	 0.411	
eFEDS J084058.4+050407	130.2434	+05.0688	 1.265	
eFEDS J084102.1+044734	130.2591	+04.7930	 0.203	
eFEDS J084105.5+031639	130.2731	+03.2777	 0.337	 2.72
eFEDS J084107.2+050459	130.2801	+05.0832	 0.288	
eFEDS J084110.8+005200	130.2953	+00.8668	 0.415	
eFEDS J084111.8-001946	130.2994	-00.3297	 0.703	
eFEDS J084116.5+020700	130.3191	+02.1168	 0.580	
eFEDS J084124.1-023350	130.3505	-02.5641	 0.204	
eFEDS J084124.7+004636	130.3530	+00.7768	 0.407	
eFEDS J084129.0+002645	130.3708	+00.4460	 0.402	
eFEDS J084134.1+043503	130.3925	+04.5844	 0.560	
eFEDS J084135.0+010150	130.3958	+01.0306	 0.507	
eFEDS J084135.7-005048	130.3988	-00.8468	 0.328	
eFEDS J084142.9+002841	130.4292	+00.4782	 0.206	
eFEDS J084146.3-021339	130.4432	-02.2278	 0.428	
eFEDS J084146.5+045612	130.4438	+04.9369	 0.636	
eFEDS J084148.1+004911	130.4507	+00.8198	 0.078	
eFEDS J084151.3-003358	130.4640	-00.5661	 0.250	
eFEDS J084151.7+004351	130.4656	+00.7311	 0.237	
