Description	Parameter	Value	Reference
Classification of galaxy	Type	SB0+	
Right Ascension (J2000) (NED)	RA	08 55 34 75	NED
Declination (J2000) (NED)	Dec	+58 44 03 9	NED
Optical heliocentric systemic velocity ( km , s ^-1 )	V_ sys	875.2 +/- 2.0	this work
Distance of object ( Mpc )	D	15.2 +/- 3.8	this work
Scale between distance on sky and true distance ( pc / ,^ )	sc	74 +/- 19	this work
Apparent B-band magnitude ( mag )	m_ B	12.05 +/- 0.15	LEDA
Apparent I-band magnitude ( mag )	m_ I	9.90 +/- 0.10	LEDA
Extinction-corrected apparent B-band magnitude ( mag )	m_ B ^ c	11.77 +/- 0.15	NED
Extinction-corrected apparent I-band magnitude ( mag )	m_ I ^ c	9.54 +/- 0.12	this work
Absolute B-band magnitude ( mag )	M_ B	-19.1 +/- 0.7	this work
Absolute I-band magnitude ( mag )	M_ I	-21.4 +/- 0.6	this work
B-band luminosity ( 10^9 , L _ )	L_ B	7.0 +/- 3.7	this work
I-band luminosity ( 10^9 , L _ )	L_ I	15.2 +/- 7.7	this work
Total HI flux ( Jy , km , s ^-1 )	F_ HI	31.4 +/- 3.1	this work
HI mass ( 10^9 , M _ )	M_ HI	1.7 +/- 0.9	this work
B-band optical radius ( ,^ )	r_25	147 +/- 30	LEDA
HI radius ( ,^ )	r_ HI	200 +/- 40	this work
Terminal radius ( ,^ )	r_ t	420 +/- 30	this work
B-band optical radius ( kpc )	R_25	10.8 +/- 2.7	this work
HI radius ( kpc )	R_ HI	14.8 +/- 3.7	this work
Terminal radius ( kpc )	R_ t	31.0 +/- 7.7	this work
Rotation velocity at terminal radius ( km , s ^-1 )	V_ t	147 +/- 15	this work
Rotation period at terminal radius ( Gyr )	t_ t	1.297 +/- 0.030	this work
Dynamical mass ( 10^9 , M _ )	M_ dyn	> 155 +/- 50	this work
Ratio of HI mass and B-band luminosity ( M _ , L _ ^-1 )	M_ HI L_ B	0.2 +/- 0.03	this work
Ratio of HI mass and I-band luminosity ( M _ , L _ ^-1 )	M_ HI L_ I	0.1 +/- 0.01	this work
Ratio of dynamical mass and HI mass	M_ dyn M_ HI	> 91 +/- 25	this work
Ratio of dynamical mass and B-band luminosity ( M _ , L _ ^-1 )	M_ dyn L_ B	> 22 +/- 7.3	this work
Ratio of dynamical mass and I-band luminosity ( M _ , L _ ^-1 )	M_ dyn L_ I	> 10.2 +/- 3.4	this work
