PRG	Name	RAdeg	DEdeg	z	KinConfRefs	FAST_Mode	FAST_Time_s
PRC A-01	PGC 006101	24.73014	-7.76546	0.01844	1	Tracking	3600
PRC A-02	ESO 415-G 026	37.08376	-31.88100	0.01536	1, 2		
PRC A-03	NGC 2685	133.89470	58.73442	0.00294	1	MultiBeamOTF	33408
PRC A-04	UGC 07576	186.92441	28.69806	0.02341	1	Tracking	1800
PRC A-05	NGC 4650A	191.20439	-40.71432	0.00961	1, 2		
PRC A-06	UGC 9796	228.98462	43.16679	0.01798	1	Tracking	900
PRC B-01	IC 51	11.60097	-13.44224	0.00574	3	MultiBeamOTF	3060
PRC B-03	IC 1689	20.94950	33.05532	0.01523	4	Tracking	1800
PRC B-09	UGC 05119	144.30273	38.09239	0.02005	5		
PRC B-16	NGC 5122	201.06225	-10.65423	0.00940	6, 7	Tracking	900
PRC B-17	UGC 9562	222.81009	35.54232	0.00426	8	Tracking	900
PRC B-18	PGC 089058	294.66002	-56.45796	0.03886	9		
PRC B-19	AM 2020-504	305.97878	-50.65187	0.01695	10		
PRC B-21	ESO 603-G21	342.84188	-20.24734	0.01042	11, 12		
PRC C-03	ESO 474-G26	11.78138	-24.37074	0.05271	13		
PRC C-13	NGC 660	25.76004	13.64504	0.00283	14		
PRC C-27	UGC 4385	125.96664	14.75185	0.00657	8	Tracking	900
PRC C-28	NGC 2748	138.42916	76.47538	0.00492	8, 15		
PRC C-45	NGC 5128	201.36506	-43.01911	0.00182	16		
PRC C-46	ESO 576- G 069	202.52204	-20.93306	0.01781	7		
SPRC 001	MaNGA 01-287487	2.29825	-0.61520	0.07333	17		
SPRC 002	PGC 3089465	6.67298	25.85048	0.02850	17		
SPRC 003	NSA 022108	10.26435	-9.94108	0.03683	17, 18	Tracking	5100
SPRC 004	NSA 007324	40.74342	-0.95259	0.04301	18		
SPRC 007	LEDA 3444084	118.14304	29.34713	0.06007	19		
SPRC 010	MaNGA 01-460660	125.15907	15.61664	0.04244	20	Tracking	5400
SPRC 012	NaN	135.45893	52.20626	0.06247	17		
SPRC 013	MaNGA 01-124268	138.72352	49.63998	0.03177	17		
SPRC 014	CGCG 121-053	139.56654	20.36816	0.03188	20	Tracking	1800
SPRC 027	NSA 113235	176.18349	23.16248	0.04835	17, 18	Tracking	4200
SPRC 033	NGC 4262	184.87741	14.87765	0.00453	21	Tracking	900
SPRC 037	LEDA 2354098	193.29069	49.80903	0.06762	17		
SPRC 039	NSA 056186	197.07056	45.37643	0.02933	20	Tracking	3600
SPRC 040	NGC 5014	197.87994	36.28200	0.00379	17	Tracking	900
SPRC 060	ASK 404109.0	236.85131	38.93064	0.07828	20		
SPRC 067	CGCG 225-097	259.43391	40.69779	0.02777	22	Tracking	900
SPRC 069	II Zw 092	312.02359	0.06860	0.02469	20	Tracking	1800
SPRC 241	MCG -01-07-035	40.48751	-6.79226	0.01757	18	Tracking	1800
SPRC 260	CGCG 068-056	176.37606	9.72909	0.02135	18	MultiBeamOTF	4560
NGC 7625	Arp 212	350.12535	17.22565	0.00543	23		
