CATID	cluster	RA_OBJ	DEC_OBJ	z_spec	r_petro	M_r	r_e	ellip	PA	mu_within_1re	g_i	Mstar	R_on_rtwo	V_on_sigma	is_mem	SURV_SAMI	BAD_CLASS	sep_deg	R_proj_Mpc_from_cat	R_proj_Mpc_direct	R_on_R200_recomputed	v_pec_kms	host_RAdeg	host_DEdeg	host_z_clus	host_sigma_200	host_e_sigma_200	host_N_mem_R200	host_N_mem_2R200	host_R_200	host_M_200_caustic	host_e_M_200_caustic	host_M_200_virial	host_e_M_200_virial
9011900161	Abell 119	13.9722	-1.11654	0.0454544	17.3669	-19.1616	2.77814	0.0184629	107.625	21.5634	1.09698	9.72266	0.258785	0.429959	1	7	0	0.168202	0.527921	0.526852	0.258261	361.165	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900183	Abell 119	14.1165	-1.4353	0.0450612	15.7881	-20.7709	2.60136	0.167516	94.3756	19.5395	1.17411	10.4396	0.28702	0.295641	1	7	0	0.186554	0.585521	0.584337	0.28644	248.339	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900233	Abell 119	13.8553	-1.30889	0.041512	14.8141	-21.7047	13.3031	0.085126	258.564	21.8681	1.23751	10.8689	0.336058	-0.919016	1	7	0	0.218427	0.685559	0.684171	0.335378	-771.973	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900383	Abell 119	14.2945	-1.01878	0.0412244	15.228	-21.3096	6.15242	0.463441	240.111	20.3404	1.18944	10.6681	0.504762	-1.0176	1	7	0	0.32808	1.02972	1.02763	0.503741	-854.783	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900503	Abell 119	14.1681	-0.866049	0.0461346	18.4323	-18.0694	2.705	0.271596	125.269	22.2716	0.888344	9.13028	0.618806	0.662188	1	3	0	0.402204	1.26236	1.25981	0.617554	556.238	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900752	Abell 119	13.9269	-1.77984	0.043982	17.6373	-18.8835	2.03326	0.484787	164.235	20.4948	1.10974	9.63245	0.835252	-0.0732387	1	7	0	0.542888	1.70391	1.70047	0.833562	-61.5205	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011900982	Abell 119	14.3077	-0.647314	0.0422483	15.1574	-21.6592	4.98414	0.267499	127.982	19.9474	1.2793	10.885	1.00604	-0.666671	1	2	0	0.653892	2.05231	2.04816	1.004	-560.003	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011901148	Abell 119	14.1495	-0.531122	0.0432866	15.0023	-21.4901	7.47939	0.332522	125.682	20.9579	1.25643	10.7946	1.12146	-0.311144	1	2	0	0.728911	2.28777	2.28314	1.11919	-261.361	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9011901390	Abell 119	14.0736	-0.429767	0.0451641	18.8121	-20.0842	5.05941	0.435109	168.012	21.8711	0.489021	9.61862	1.27026	0.330799	1	2	3	0.825628	2.59133	2.58608	1.26769	277.872	14.0671	-1.25537	0.0442	840	36	372	578	2.04	8.6	3.1	9.7	1.1
9008501601	Abell 85	11.3268	-8.93741	0.0563066	16.2893	-20.7337	1.80557	0.258844	241.119	19.1601	1.26392	10.4758	1.47792	0.410267	1	2	0	0.930517	3.57658	3.5746	1.47711	411.088	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9091700242	APMCC 0917	355.507	-28.95	0.0534172	16.8386	-20.0099	2.4432	0.552777	126.582	19.7159	1.19031	10.1189	0.908128	1.44034	1	7	0	0.301904	1.08067	1.08036	0.907869	708.648	355.398	-29.2364	0.0509	492	47	86	119	1.19	1.8	0.7	2.1	0.6
9044200004	EDCC 442	6.38437	-33.0308	0.0500023	14.801	-22.2004	5.67025	0.145468	187.67	20.13	1.20426	11.0168	0.0399476	0.0854824	1	7	0	0.0160551	0.0563262	0.0562851	0.0399185	49.8362	6.38068	-33.0466	0.0498	583	39	123	243	1.41	2.8	1.7	3.6	0.7
9044200062	EDCC 442	6.24946	-33.052	0.0524975	16.5673	-20.2325	1.08375	0.419638	98.9937	18.0924	1.21886	10.2531	0.274001	1.30601	1	7	0	0.110121	0.386342	0.386055	0.273798	761.406	6.38068	-33.0466	0.0498	583	39	123	243	1.41	2.8	1.7	3.6	0.7
9044200155	EDCC 442	6.20805	-33.2189	0.0491039	15.4737	-21.3413	2.74797	0.512658	2.5498	18.7703	1.25638	10.7325	0.559678	-0.354704	1	7	0	0.224934	0.789146	0.78856	0.559262	-206.792	6.38068	-33.0466	0.0498	583	39	123	243	1.41	2.8	1.7	3.6	0.7
9044200158	EDCC 442	6.51199	-32.8477	0.0518299	13.9634	-22.8535	11.7553	0.386074	170.422	20.4948	1.23668	11.3052	0.565639	0.979738	1	7	0	0.227331	0.797552	0.796961	0.56522	571.187	6.38068	-33.0466	0.0498	583	39	123	243	1.41	2.8	1.7	3.6	0.7
9403800001	Abell 4038	356.938	-28.1407	0.028922	12.8471	-22.5273	29.2092	0.495963	120.119	21.541	1.32302	11.2981	1.23983e-06	-0.208627	1	7	0	4.23733e-06	1.81016e-06	8.95627e-06	6.13443e-06	-124.55	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403800032	Abell 4038	356.956	-28.2036	0.0319219	15.7067	-19.8705	4.39474	0.299726	99.2771	20.4389	1.21084	10.1388	0.094538	1.25292	1	7	0	0.0650999	0.138025	0.137599	0.094246	747.996	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403800184	Abell 4038	356.811	-27.9578	0.0286519	13.4811	-22.1739	9.08342	0.149297	47.587	19.8421	1.27356	11.1169	0.311265	-0.340422	1	7	0	0.214345	0.454447	0.453054	0.310311	-203.232	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403800215	Abell 4038	356.8	-27.93	0.0293593	14.582	-21.0111	6.77355	0.206374	34.1556	20.2931	1.24471	10.6241	0.352904	0.00467665	1	7	0	0.243019	0.51524	0.51366	0.351822	2.79196	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403800456	Abell 4038	357.228	-27.8176	0.0343276	16.207	-19.4059	2.69734	0.12172	31.8863	20.1395	0.68974	9.52469	0.598808	2.42193	0	8	0	0.412349	0.87426	0.871566	0.596963	1445.89	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403800673	Abell 4038	356.717	-28.6584	0.0340037	17.0291	-18.5723	9.5957	0.879168	108.45	21.6709	0.907734	9.37303	0.803263	2.26469	0	3	0	0.553145	1.17276	1.16916	0.800796	1352.02	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403801272	Abell 4038	357.879	-28.0197	0.0350572	14.7749	-20.7641	12.7742	0.390061	126.885	21.7464	0.961225	10.2891	1.21881	2.77595	0	2	0	0.83929	1.77946	1.77398	1.21505	1657.24	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403801642	Abell 4038	356.266	-27.3448	0.0275622	15.9069	-19.7288	6.26787	0.315721	186.608	21.2763	1.10401	10.0014	1.44247	-0.872559	1	2	0	0.99332	2.10601	2.09954	1.43804	-520.918	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9403801686	Abell 4038	355.8	-28.0281	0.0282294	15.856	-19.6081	2.8257	0.000107386	175.391	20.0464	1.19806	10.0226	1.46678	-0.5467	1	2	0	1.01006	2.1415	2.13492	1.46228	-326.38	356.938	-28.1407	0.0293	597	29	164	263	1.46	2.3	1.4	2.9	0.5
9239900659	Abell 2399	329.035	-8.1572	0.0556363	16.9394	-20.2045	2.794	0.303439	138.15	20.8465	0.966226	10.0359	1.19756	-0.956161	1	2	0	0.492411	1.98794	1.99112	1.19947	-659.751	329.373	-7.79569	0.058	690	32	254	343	1.66	4.7	1.5	6.1	0.8
9239901253	Abell 2399	329.057	-8.51216	0.0593669	17.187	-19.966	1.23863	0.531244	243.5	18.8378	1.1346	10.0568	1.90075	0.576894	1	2	0	0.781562	3.15525	3.16034	1.90382	398.057	329.373	-7.79569	0.058	690	32	254	343	1.66	4.7	1.5	6.1	0.8
9388000044	Abell 3880	337.028	-30.6523	0.0580189	17.1427	-19.9398	2.31108	0.382307	154.87	20.4619	1.22738	10.1215	0.224732	0.106358	1	7	0	0.0886554	0.357324	0.357337	0.22474	70.1966	336.977	-30.5754	0.0578	660	46	160	307	1.59	4.4	1.3	4.6	1.1
9388000068	Abell 3880	336.849	-30.4958	0.056168	14.6547	-22.4863	5.45684	0.196417	97.494	20.0122	1.2838	11.2072	0.34511	-0.689266	1	7	0	0.136143	0.548726	0.548742	0.345121	-454.916	336.977	-30.5754	0.0578	660	46	160	307	1.59	4.4	1.3	4.6	1.1
9388000113	Abell 3880	337.129	-30.4426	0.0531728	16.689	-20.5497	6.35966	0.313599	137.841	22.2432	0.547413	9.83866	0.472947	-1.9797	1	3	0	0.186575	0.751986	0.752014	0.472965	-1306.6	336.977	-30.5754	0.0578	660	46	160	307	1.59	4.4	1.3	4.6	1.1
9388000139	Abell 3880	336.814	-30.4002	0.0583094	15.433	-21.865	12.0444	0.536675	105.54	21.8323	1.38788	11.0592	0.569361	0.231112	1	7	0	0.224608	0.905283	0.905312	0.569379	152.534	336.977	-30.5754	0.0578	660	46	160	307	1.59	4.4	1.3	4.6	1.1
