#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:19 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/414/888&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74140888
#Name: J/MNRAS/414/888
#Title: ATLAS3D project. III. (Emsellem+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/414/888	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/414/888	    IVOID of underlying data collection
#INFO	creator=Emsellem E.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.414..888E	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/414/888	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74140888	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_414_888_tableb1:
#Name: J/MNRAS/414/888/tableb1
#Title: Ellipticities, {lambda}_R_ and V/{sigma} tabulated values for the ATLAS3D sample of 260 ETGs
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a10)	Galaxy name from the principal designation from the LEDA database	[ucd=meta.id;meta.main]
#Column	Rmax	(F5.2)	Largest equivalent aperture radius reached by the SAURON maps, in units of the effective radius Re	[ucd=phys.angSize;src]
#Column	epse	(F6.3)	Moment ellipticity measured within one effective radius R, {epsilon}_e_ (1)	[ucd=src.ellipticity]
#Column	epse/2	(F6.3)	Moment ellipticity measured within one-half effective radius Re/2, {epsilon}_e/2_ (1)	[ucd=src.ellipticity]
#Column	Band	(A1)	[GRSC] Source of the radial ellipticity profiles (2)	[ucd=meta.code]
#Column	V/sige	(F6.3)	V/{sigma} as measured within 1Re	[ucd=phys.veloc]
#Column	V/sige/2	(F6.3)	V/{sigma} as measured within Re/2	[ucd=phys.veloc]
#Column	lamRe	(F6.3)	{lambda}_R_ parameter measured within 1Re (3)	[ucd=stat.fit.param]
#Column	lamRe/2	(F6.3)	{lambda}_R_ parameter measured within Re/2 (3)	[ucd=stat.fit.param]
#Column	F/S	(A1)	[F/S] Fast (F) or Slow (S) rotator according to the {lambda}_R_ and {epsilon} values at Re	[ucd=meta.code]
#Column	F/S2	(A1)	[F/S] Fast (F) or Slow (S) rotator according to the {lambda}_R_ and {epsilon} values at Re/2	[ucd=meta.code]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
#Column	LEDA	(A4)	Simbad column added by the CDS	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Gal	Rmax	epse	epse/2	Band	V/sige	V/sige/2	lamRe	lamRe/2	F/S	F/S2	Simbad	NED	LEDA	_RA	_DE
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	deg	deg
--------	----------	-----	------	------	-	------	------	------	------	-	-	------	---	----	---------	---------
       1	IC0560    	 1.10	 0.587	 0.479	G	 0.770	 0.607	 0.691	 0.589	F	F	Simbad	NED	LEDA	146.47265	-00.26822
       2	IC0598    	 1.39	 0.579	 0.502	G	 0.896	 0.629	 0.736	 0.592	F	F	Simbad	NED	LEDA	153.20242	+43.14555
       3	IC0676    	 0.68	 0.524	 0.664	G	 0.508	 0.436	 0.495	 0.442	F	F	Simbad	NED	LEDA	168.16591	+09.05574
       4	IC0719    	 1.06	 0.714	 0.642	R	 0.279	 0.117	 0.263	 0.092	F	S	Simbad	NED	LEDA	175.07704	+09.00986
       5	IC0782    	 0.76	 0.404	 0.263	G	 0.677	 0.608	 0.571	 0.529	F	F	Simbad	NED	LEDA	185.40405	+05.76567
       6	IC1024    	 1.18	 0.679	 0.752	G	 0.916	 0.647	 0.724	 0.599	F	F	Simbad	NED	LEDA	217.86342	+03.00911
       7	IC3631    	 1.11	 0.560	 0.524	G	 0.218	 0.173	 0.250	 0.196	F	F	Simbad	NED	LEDA	189.95020	+12.97393
       8	NGC0448   	 1.22	 0.643	 0.656	G	 0.380	 0.377	 0.327	 0.291	F	F	Simbad	NED	LEDA	018.81887	-01.62611
       9	NGC0474   	 0.52	 0.192	 0.191	G	 0.229	 0.227	 0.213	 0.210	F	F	Simbad	NED	LEDA	020.02825	+03.41544
      10	NGC0502   	 1.44	 0.146	 0.047	G	 0.213	 0.168	 0.234	 0.172	F	F	Simbad	NED	LEDA	020.73196	+09.04903
      11	NGC0509   	 0.56	 0.679	 0.661	G	 0.451	 0.430	 0.465	 0.444	F	F	Simbad	NED	LEDA	020.85032	+09.43347
      12	NGC0516   	 0.95	 0.699	 0.701	G	 0.786	 0.624	 0.655	 0.579	F	F	Simbad	NED	LEDA	021.03361	+09.55167
      13	NGC0524   	 0.50	 0.034	 0.034	G	 0.344	 0.344	 0.325	 0.325	F	F	Simbad	NED	LEDA	021.19878	+09.53879
      14	NGC0525   	 1.41	 0.280	 0.173	G	 0.404	 0.285	 0.418	 0.274	F	F	Simbad	NED	LEDA	021.22044	+09.70324
      15	NGC0661   	 1.33	 0.306	 0.307	G	 0.134	 0.094	 0.139	 0.070	S	S	Simbad	NED	LEDA	026.06097	+28.70599
      16	NGC0680   	 1.19	 0.189	 0.185	G	 0.413	 0.361	 0.406	 0.360	F	F	Simbad	NED	LEDA	027.44703	+21.97083
      17	NGC0770   	 2.01	 0.276	 0.299	G	 0.184	 0.117	 0.195	 0.114	F	S	Simbad	NED	LEDA	029.80685	+18.95469
      18	NGC0821   	 0.49	 0.392	 0.392	G	 0.288	 0.288	 0.273	 0.273	F	F	Simbad	NED	LEDA	032.08812	+10.99487
      19	NGC0936   	 1.00	 0.223	 0.223	C	 0.677	 0.448	 0.657	 0.430	F	F	Simbad	NED	LEDA	036.90609	-01.15628
      20	NGC1023   	 0.47	 0.363	 0.363	G	 0.372	 0.372	 0.391	 0.391	F	F	Simbad	NED	LEDA	040.09958	+39.06286
      21	NGC1121   	 2.14	 0.559	 0.450	G	 0.828	 0.587	 0.711	 0.548	F	F	Simbad	NED	LEDA	042.66339	-01.73404
      22	NGC1222   	 1.12	 0.280	 0.280	C	 0.153	 0.138	 0.147	 0.132	S	S	Simbad	NED	LEDA	047.23645	-02.95521
      23	NGC1248   	 1.10	 0.227	 0.138	G	 0.521	 0.337	 0.535	 0.353	F	F	Simbad	NED	LEDA	048.20233	-05.22467
