CALIFAid	PAkin_star_app	e_PAkin_star_app	PAkin_star_rec	e_PAkin_star_rec	PAkin_gas_app	e_PAkin_gas_app	PAkin_gas_rec	e_PAkin_gas_rec	PAmorph_star	Vsys_star	Vsys_gas	dPA_gas_star_rec	dPA_gas_star_rec_fold90
1	6.0	3.3	8.2	3.2	4.5	1.2	3.5	1.6	3.7	4963.0	4990.0	4.7	4.7
2	49.9	2.7	45.0	0.2	55.0	1.4	44.6	1.0	45.2	7209.0	7247.0	0.4	0.4
7	22.7	2.8	18.8	1.6	27.8	2.7	10.3	2.4	17.4	6238.0	6299.0	8.5	8.5
8	114.6	4.2	118.2	6.2	116.2	2.1	115.7	1.7	106.0	4515.0	4534.0	2.5	2.5
10	19.4	2.7	12.0	2.3	16.4	1.4	18.9	2.3	179.3	5939.0	5974.0	6.9	6.9
23	88.8	7.2	92.0	4.9	69.9	16.1	108.2	33.0	126.0	3857.0	3859.0	16.2	16.2
25	168.1	4.0	172.0	3.8	174.6	2.4	165.6	1.8	167.1	5204.0	5239.0	6.4	6.4
28	51.3	5.4	40.2	6.3	56.2	2.3	47.3	2.4	60.4	4500.0	4486.0	7.1	7.1
30	17.0	5.8	165.3	5.2	5.7	1.9	179.6	0.6	177.3	4142.0	4111.0	14.3	14.3
31	66.5	7.3	76.4	6.7	65.4	1.1	75.9	1.9	82.2	4391.0	4438.0	0.5	0.5
33	91.0	6.3	94.4	4.8	91.5	2.1	87.7	1.2	93.7	5183.0	5213.0	6.7	6.7
41	58.6	7.1	60.3	5.1	45.9	2.2	60.6	2.2	53.9	5524.0	5547.0	0.3	0.3
43	19.0	9.7	31.8	7.2	7.9	4.0	16.1	4.5	156.4	4839.0	4811.0	15.7	15.7
53	152.6	4.7	155.1	3.8	148.0	1.4	151.7	1.6	152.2	6294.0	6356.0	3.4	3.4
108	92.9	3.0	101.4	1.8	100.6	2.2	100.4	2.3	96.5	5224.0	5235.0	1.0	1.0
116	164.5	6.3	171.7	7.2	159.9	4.9	167.3	7.0	172.4	7676.0	7696.0	4.4	4.4
131	123.4	3.6	129.2	2.8	130.3	3.5	132.9	2.9	128.0	3689.0	3693.0	3.7	3.7
147	117.0	5.7	122.1	3.3	117.7	1.4	116.4	4.3	141.7	3549.0	3568.0	5.7	5.7
149	8.5	4.3	7.2	4.0	5.3	1.7	13.8	1.7	3.9	4396.0	4359.0	6.6	6.6
151	32.4	2.5	41.7	2.3	36.6	1.3	37.3	3.0	37.0	4662.0	4574.0	4.4	4.4
