MaNGAID	PlateIFU	SDSSID	Label	RAdeg	DEdeg	z	Distance	logMstar
1-225	11759-1902	SDSS J094323.39+004032.6	A	145.848	0.6757	0.02660	114	9.92
1-382818	9491-6102	SDSS J075943.28+182803.7	B	119.930	18.4677	0.03784	162	9.94
1-409368	12484-1901	SDSS J130738.44+312913.0	C	196.910	31.4870	0.02615	112	9.97
1-178790	8623-3702	SDSS J204129.46+000756.1	D	310.373	0.1323	0.02694	115	10.03
1-261224	8334-3703	SDSS J141255.25+391845.5	E	213.230	39.3127	0.02507	107	10.10
1-146344	8938-6102	SDSS J080016.09+292817.1	F	120.067	29.4714	0.04527	194	10.13
1-561039	7957-6102	SDSS J171305.05+351607.0	G	258.271	35.2686	0.02566	110	10.28
1-576537	8465-12704	SDSS J131234.03+482159.8	H	198.142	48.3666	0.05581	239	10.65
1-386903	12487-3701	SDSS J091135.65+300439.1	I	137.899	30.0775	0.02598	111	10.68
1-244629	11020-3703	SDSS J134421.57+555121.3	J	206.090	55.8560	0.03741	160	10.79
