#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:36 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/360/439&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33600439
#Name: J/A+A/360/439
#Title: Stellar and ionized gas kinematics in NGC 4672 (Sarzi+, 2000)
#INFO	ivoid=ivo://cds.vizier/j/a+a/360/439	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/360/439	    IVOID of underlying data collection
#INFO	creator=Sarzi M.	    First author or institution
#INFO	cites=bibcode:2000A&A...360..439S	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2000	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/360/439	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33600439	    Dataset identifier that can be used for citation
#INFO	publication_date=2000-10-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_360_439_tables:
#Name: J/A+A/360/439/tables
#Title: NGC 4672 major and minor axis stellar and ionized gas kinematics (tables 3-6 of the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Axis	(A3)	Data along major (maj) or minor (min) axis	[ucd=meta.code]
#Column	Kin	(A1)	[sg] Followed data concerns s: stellar kinematics or g: ionized gas kinematics	[ucd=meta.code]
#Column	r	(F6.2)	Galactocentric distance	[ucd=pos.angDistance]
#Column	HRV	(I4)	Heliocentric radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_HRV	(I2)	Heliocentric radial velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I2)	Velocity dispersion error	[ucd=stat.error]
#Column	Run	(I1)	[1/2]? Observing run (1=1998;2=1999)	[ucd=meta.id;obs]
recno	Axis	Kin	r	HRV	e_HRV	sigma	e_sigma	Run
 	 	 	arcsec	km/s	km/s	km/s	km/s	
--------	---	-	------	----	--	---	--	-
       1	maj	s	-32.53	  90	21	133	20	2
       2	maj	s	-24.04	  74	25	101	15	2
       3	maj	s	-12.17	  46	22	105	18	2
       4	maj	s	-12.15	  74	50	 93	30	1
       5	maj	s	 -7.48	  41	11	 96	11	2
       6	maj	s	 -4.26	  26	 9	105	 7	2
       7	maj	s	 -3.33	  -1	31	134	18	1
       8	maj	s	 -2.24	   5	10	 99	10	2
       9	maj	s	 -1.33	   8	50	213	46	1
      10	maj	s	 -0.62	  16	 6	181	 6	2
      11	maj	s	  0.28	 -11	30	150	20	1
      12	maj	s	  0.98	   1	 7	183	 7	2
      13	maj	s	  1.89	   4	39	208	25	1
      14	maj	s	  2.61	 -14	 9	104	 7	2
      15	maj	s	  3.86	 -41	18	144	11	1
      16	maj	s	  4.94	 -30	 6	 98	 6	2
      17	maj	s	  7.74	 -76	37	116	22	1
      18	maj	s	  9.02	 -91	15	109	 9	2
      19	maj	s	 15.69	-136	14	 83	 8	2
      20	maj	s	 27.27	-197	 3	 93	 7	2
      21	min	s	 -6.38	  42	28	127	41	
      22	min	s	 -5.04	  29	12	 98	14	
      23	min	s	 -4.09	  50	14	 87	 8	
      24	min	s	 -3.31	  29	12	106	22	
      25	min	s	 -2.53	 111	 4	 46	 8	
      26	min	s	 -1.75	  44	18	154	15	
      27	min	s	 -0.97	  38	11	124	13	
      28	min	s	 -0.39	   2	18	123	16	
      29	min	s	  0.00	   6	12	 90	 7	
      30	min	s	  0.56	   8	13	177	 8	
      31	min	s	  1.48	 -30	14	 85	28	
      32	min	s	  3.57	 -59	 9	 52	11	
      33	min	s	  5.68	 -37	27	136	84	
      34	min	s	  7.20	 -14	10	 76	 9	
      35	min	s	  9.07	 -18	11	 69	 7	
      36	maj	g	-56.71	 167	 0	 13	 0	
      37	maj	g	-50.97	 171	 0	 33	 0	
      38	maj	g	-45.23	 153	 2	 36	 3	
      39	maj	g	-39.49	 147	11	 19	19	
      40	maj	g	-35.39	 121	 9	 17	17	
      41	maj	g	-32.93	 105	 4	 32	 5	
      42	maj	g	-30.47	 107	 8	 45	 5	
      43	maj	g	-28.01	  99	 1	 58	 8	
      44	maj	g	-25.55	 106	 4	 44	 6	
      45	maj	g	-23.09	 111	 2	 41	 2	
      46	maj	g	-20.63	 105	 2	 40	 3	
      47	maj	g	-18.17	 100	 4	 41	 3	
      48	maj	g	-15.71	  97	 4	 49	10	
      49	maj	g	-13.25	  93	 1	 50	 6	
      50	maj	g	-10.79	 107	 1	 60	 7	
      51	maj	g	 -9.15	 109	 4	 60	 6	
      52	maj	g	 -8.33	 116	 2	 54	 3	
      53	maj	g	 -7.51	 107	 5	 56	 2	
      54	maj	g	 -6.69	 111	 2	 61	 3	
      55	maj	g	 -5.87	 104	 0	 61	 5	
      56	maj	g	 -5.05	  97	 4	 57	 2	
      57	maj	g	 -4.23	  79	 4	 66	 3	
      58	maj	g	 -3.41	  71	 4	 64	 1	
      59	maj	g	 -2.59	  69	 1	 58	 1	
      60	maj	g	 -1.77	  59	 4	 57	 2	
      61	maj	g	 -0.95	  49	 1	 74	 8	
      62	maj	g	 -0.13	  21	 6	 35	35	
      63	maj	g	  0.69	   5	 1	 75	 6	
      64	maj	g	  1.51	 -20	 2	 67	 7	
      65	maj	g	  2.33	 -36	 5	 58	 7	
      66	maj	g	  3.15	 -45	 7	 55	 1	
      67	maj	g	  3.97	 -50	 5	 61	 8	
      68	maj	g	  4.79	 -36	 7	 22	22	
      69	maj	g	  5.61	 -53	 5	 43	 4	
      70	maj	g	  6.43	 -75	10	 66	14	
      71	maj	g	  8.07	 -71	 1	 58	 4	
      72	maj	g	 10.53	 -98	 2	 38	 5	
      73	maj	g	 12.99	-123	 6	 41	 2	
      74	maj	g	 15.45	-132	 0	 45	 3	
      75	maj	g	 17.91	-137	 6	 38	 3	
      76	maj	g	 20.37	-158	 2	 36	 1	
