#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:38 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:38	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/374/394&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33740394
#Name: J/A+A/374/394
#Title: Gas and stars kinematics in disc galaxies (Vega Beltran+ 2001)
#INFO	ivoid=ivo://cds.vizier/j/a+a/374/394	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/374/394	    IVOID of underlying data collection
#INFO	creator=Vega Beltran J.C.	    First author or institution
#INFO	cites=bibcode:2001A&A...374..394V	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2001	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/374/394	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33740394	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-01-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_374_394_galaxies:
#Name: J/A+A/374/394/galaxies
#Title: Summary of galaxies studied
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	Simbad	(A6)	ask the SIMBAD data-base about this object	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	RAJ2000	(A10)	Right Ascension J2000 (hours) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000 (degrees) (1)	[ucd=pos.eq.dec;meta.main]
#Column	ONames	(a31)	Other name(s)	[ucd=meta.id]
recno	Name	Simbad	NED	RAJ2000	DEJ2000	ONames
 	 	 	 	"h:m:s"	"d:m:s"	
--------	-------	------	---	----------	---------	-------------------------------
       1	NGC0224	Simbad	NED	00 42 44.3	+41 16 09	M 31
       2	NGC0470	Simbad	NED	01 19 45.0	+03 24 35	UGC 858
       3	NGC0949	Simbad	NED	02 30 48.9	+37 08 12	UGC 1983 = EQ 0227+369
       4	NGC0980	Simbad	NED	02 35 18.6	+40 55 35	UGC 2063 = MCG+07-06-038
       5	NGC1160	Simbad	NED	03 01 13.5	+44 57 18	UGC 2475 = IRAS 02579+4445
       6	NGC2541	Simbad	NED	08 14 40.4	+49 03 42	UGC 4284 = IRAS F08109+4912
       7	NGC2683	Simbad	NED	08 52 41.7	+33 25 10	UGC 4641 = 87GB 084932.5+333654
       8	NGC2841	Simbad	NED	09 22 02.0	+50 58 40	UGC 4966 = 2E 0918.5+5111
       9	NGC3031	Simbad	NED	09 55 33.2	+69 03 55	M 81
      10	NGC3200	Simbad	NED	10 18 36.5	-17 58 57	UGCA 210 = ESO 567- 45
      11	NGC3368	Simbad	NED	10 46 45.8	+11 49 10	M 96 = NGC 3368
      12	NGC3705	Simbad	NED	11 30 07.6	+09 16 36	UGC 6498 = IRAS F11275+0933
      13	NGC3810	Simbad	NED	11 40 58.9	+11 28 17	UGC 6644 = 87GB 113827.0+114446
      14	NGC4419	Simbad	NED	12 26 56.6	+15 02 49	UGC 7551 = EQ 1224+153
      15	NGC5064	Simbad	NED	13 19 00.3	-47 54 40	ESO 220- 2 = AGC 29455
      16	NGC5854	Simbad	NED	15 07 47.7	+02 34 06	UGC 9726 = MCG+01-39-001
      17	NGC7331	Simbad	NED	22 37 04.3	+34 24 59	UGC 12113 = 2E 4630

#Table	J_A_A_374_394_table5:
#Name: J/A+A/374/394/table5
#Title: Stellar kinematics for the sample galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a7)	Name of the galaxy	[ucd=meta.id;meta.main]
#Column	PA	(I3)	Position angle of the slit (G1)	[ucd=pos.posAng]
#Column	Rad	(F5.1)	[-89/59] Radius (G1)	[ucd=pos.angDistance]
#Column	Vel	(I4)	Velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_Vel	(I2)	Velocity error	[ucd=stat.error]
#Column	sigma	(I3)	Velocity dispersion	[ucd=phys.veloc.dispersion]
#Column	e_sigma	(I3)	Velocity dispersion error	[ucd=stat.error]
#Column	h3	(F5.2)	? h3 Gauss-Hermite coefficient	[ucd=stat.fit.param]
#Column	e_h3	(F5.2)	? h3 Gauss-Hermite coefficient error	[ucd=stat.error]
#Column	h4	(F5.2)	? h4 Gauss-Hermite coefficient	[ucd=stat.fit.param]
#Column	e_h4	(F5.2)	? h4 Gauss-Hermite coefficient error	[ucd=stat.error]
recno	Name	PA	Rad	Vel	e_Vel	sigma	e_sigma	h3	e_h3	h4	e_h4
 	 	deg	arcsec	km/s	km/s	km/s	km/s	 	 	 	
--------	-------	---	-----	----	--	---	---	-----	-----	-----	-----
       1	NGC0224	 55	-35.4	-381	16	205	 23	-0.05	 0.07	 0.04	 0.07
       2	NGC0224	 55	-32.1	-376	19	219	 37	-0.07	 0.08	 0.12	 0.08
       3	NGC0224	 55	-29.4	-368	18	217	 29	-0.12	 0.07	 0.06	 0.07
       4	NGC0224	 55	-27.2	-311	13	228	 26	-0.13	 0.05	 0.14	 0.05
       5	NGC0224	 55	-25.2	-352	12	216	 24	-0.09	 0.05	 0.13	 0.05
       6	NGC0224	 55	-23.4	-363	13	235	 29	-0.05	 0.05	 0.16	 0.05
       7	NGC0224	 55	-21.6	-352	12	197	 16	-0.04	 0.05	 0.05	 0.05
       8	NGC0224	 55	-20.0	-345	12	179	 11	 0.02	 0.04	 0.04	 0.04
       9	NGC0224	 55	-18.5	-361	13	220	 28	-0.12	 0.05	 0.16	 0.05
      10	NGC0224	 55	-17.1	-350	15	228	 33	-0.13	 0.06	 0.17	 0.06
      11	NGC0224	 55	-15.9	-347	12	218	 18	-0.08	 0.04	 0.11	 0.04
      12	NGC0224	 55	-14.8	-325	12	179	  9	-0.05	 0.04	-0.02	 0.04
      13	NGC0224	 55	-13.7	-330	12	208	 17	-0.08	 0.04	 0.10	 0.04
      14	NGC0224	 55	-12.8	-345	12	231	 28	-0.15	 0.05	 0.19	 0.05
      15	NGC0224	 55	-11.9	-337	12	209	 22	-0.07	 0.04	 0.18	 0.04
      16	NGC0224	 55	-11.0	-326	12	156	  4	 0.03	 0.03	-0.08	 0.03
      17	NGC0224	 55	-10.1	-336	12	139	  5	 0.09	 0.05	-0.11	 0.05
      18	NGC0224	 55	 -9.2	-340	12	124	  2	 0.18	 0.02	-0.03	 0.02
      19	NGC0224	 55	 -8.3	-321	12	166	 12	-0.07	 0.04	 0.06	 0.04
      20	NGC0224	 55	 -7.6	-318	12	159	  6	-0.05	 0.04	-0.03	 0.04
      21	NGC0224	 55	 -6.9	-317	12	164	  5	-0.08	 0.02	 0.04	 0.02
      22	NGC0224	 55	 -6.3	-318	12	150	  7	-0.04	 0.03	 0.02	 0.03
      23	NGC0224	 55	 -5.8	-302	12	156	  2	-0.12	 0.02	-0.06	 0.02
      24	NGC0224	 55	 -5.2	-304	12	143	  6	-0.04	 0.03	-0.01	 0.03
      25	NGC0224	 55	 -4.6	-299	12	162	  7	-0.10	 0.04	-0.01	 0.04
      26	NGC0224	 55	 -4.0	-299	12	152	  4	-0.08	 0.03	-0.05	 0.03
      27	NGC0224	 55	 -3.3	-313	12	156	  6	-0.02	 0.03	 0.03	 0.03
      28	NGC0224	 55	 -2.9	-323	12	164	  7	-0.02	 0.03	 0.02	 0.03
      29	NGC0224	 55	 -2.6	-338	12	157	  7	 0.06	 0.03	 0.05	 0.03
      30	NGC0224	 55	 -2.3	-356	12	175	 11	 0.02	 0.03	 0.06	 0.03
      31	NGC0224	 55	 -2.0	-373	12	164	  9	 0.05	 0.03	 0.03	 0.03
      32	NGC0224	 55	 -1.7	-387	12	188	  8	 0.00	 0.03	 0.01	 0.03
      33	NGC0224	 55	 -1.4	-398	12	192	  7	 0.02	 0.02	 0.05	 0.02
      34	NGC0224	 55	 -1.1	-409	12	210	  9	 0.00	 0.03	 0.05	 0.03
      35	NGC0224	 55	 -0.8	-398	12	242	  7	-0.04	 0.02	 0.05	 0.02
      36	NGC0224	 55	 -0.5	-379	12	263	  7	-0.10	 0.02	 0.03	 0.02
      37	NGC0224	 55	 -0.2	-326	12	270	 11	-0.13	 0.02	 0.06	 0.02
      38	NGC0224	 55	  0.1	-252	12	232	  6	-0.13	 0.02	 0.06	 0.02
      39	NGC0224	 55	  0.4	-199	12	188	  7	-0.09	 0.02	 0.07	 0.02
      40	NGC0224	 55	  0.7	-175	12	157	  5	-0.09	 0.02	 0.01	 0.02
      41	NGC0224	 55	  1.0	-168	12	156	  6	-0.07	 0.03	 0.05	 0.03
      42	NGC0224	 55	  1.3	-177	12	136	  5	-0.10	 0.02	 0.10	 0.02
      43	NGC0224	 55	  1.6	-197	12	144	  7	-0.12	 0.03	 0.10	 0.03
      44	NGC0224	 55	  1.9	-212	12	139	  8	-0.13	 0.03	 0.12	 0.03
      45	NGC0224	 55	  2.2	-237	12	154	  8	-0.13	 0.04	 0.01	 0.04
      46	NGC0224	 55	  2.5	-231	12	153	  7	-0.15	 0.03	 0.02	 0.03
      47	NGC0224	 55	  2.9	-259	12	154	  6	-0.11	 0.03	-0.01	 0.03
      48	NGC0224	 55	  3.5	-266	12	147	 10	-0.13	 0.04	 0.06	 0.04
      49	NGC0224	 55	  4.2	-269	12	155	  7	-0.10	 0.03	 0.01	 0.03
      50	NGC0224	 55	  4.8	-256	12	131	  5	-0.15	 0.03	 0.00	 0.03
      51	NGC0224	 55	  5.3	-263	12	157	  7	-0.12	 0.03	 0.04	 0.03
      52	NGC0224	 55	  5.9	-262	12	150	  9	-0.18	 0.04	 0.01	 0.04
      53	NGC0224	 55	  6.6	-266	12	156	  8	-0.17	 0.04	 0.00	 0.04
