#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:10 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:10	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/other/NatAs/7.463&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1061000701
#Name: J/other/NatAs/7.463
#Title: Galaxies stellar and gas kinematic angles (Raimundo+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/other/natas/7.463	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/other/natas/7.463	    IVOID of underlying data collection
#INFO	creator=Raimundo S.I.	    First author or institution
#INFO	cites=bibcode:2023NatAs...7..463R	    Article or Data origin sources
#INFO	journal=NatA	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/other/NatAs/7.463	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier/dt/hkegd	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-03-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_other_NatAs_7_463_tabled1:
#Name: J/other/NatAs/7.463/tabled1
#Title: Summary of the main results for the of 1310 galaxies with measured stellar and gas kinematic angles
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I4)	[0/1309] Sequential number	[ucd=meta.record]
#Column	CatId	(I10)	Catalogue ID from the SAMI survey DR3	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	zsp	(F7.4)	Spectroscopic redshift	[ucd=src.redshift]
#Column	PAs	(F5.1)	Principal stellar kinematic axis (PAstellar)	[ucd=pos.posAng]
#Column	e_PAs	(F4.1)	3{sigma} uncertainty in PAstellar	[ucd=stat.error]
#Column	PAg	(F5.1)	Principal gas kinematic axis (PAgas)	[ucd=pos.posAng]
#Column	e_PAg	(F4.1)	3{sigma} uncertainty in PAgas	[ucd=stat.error]
#Column	DPA	(F5.1)	Difference in stellar-gas kinematic angles ({DELTA}PA=|PAstellar-PAgas|)	[ucd=pos.posAng]
#Column	e_DPA	(F4.1)	3{sigma} uncertainty in PA	[ucd=stat.error]
#Column	Flag	(A1)	[als] Flag for excitation mechanism (1)	[ucd=meta.code.error]
#Column	FAGN	(A2)	Flag for AGN detection (2)	[ucd=meta.code]
#Column	Type	(F4.1)	Morphological type as in the SAMI survey classification	[ucd=src.morph.type]
#Column	logMstar	(F10.7)	? Stellar mass	[ucd=phys.mass]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
recno	Seq	CatId	RAJ2000	DEJ2000	zsp	PAs	e_PAs	PAg	e_PAg	DPA	e_DPA	Flag	FAGN	Type	logMstar	SimbadName
 	 	 	deg	deg	 	deg	deg	deg	deg	deg	deg	 	 	 	[Msun]	
--------	----	----------	--------	--------	-------	-----	----	-----	----	-----	----	-	--	----	----------	-----------------------------
       1	   0	    100162	185.7931	+00.9349	 0.0258	 48.3	11.6	 52.3	 0.5	  4.0	12.1	s	  	 3.0	 9.1500000	GAMA 100162
       2	   1	    100192	185.9277	+00.9622	 0.0241	230.3	 7.0	223.2	 0.5	  7.0	 7.5	s	  	 3.0	 9.3300000	GAMA 100192
       3	   2	    105447	211.7731	+00.8564	 0.0487	219.2	 2.5	221.2	 1.5	  2.0	 4.0	l	  	 1.5	10.1100000	GAMA 105447
       4	   3	    105519	212.3402	+01.0277	 0.0577	 49.3	 2.5	264.5	14.1	144.8	16.6	 	  	 1.0	10.3400000	GAMA 105519
       5	   4	    105597	212.7404	+01.0357	 0.0254	281.6	 1.5	283.6	 0.5	  2.0	 2.0	s	  	 2.0	10.4100000	GAMA 105597
       6	   5	    105738	213.2469	+00.9212	 0.0529	311.7	 4.5	329.8	 0.5	 18.1	 5.0	a	  	 1.0	10.5000000	GAMA 105738
       7	   6	    106016	214.4182	+00.9202	 0.0535	 49.3	 4.5	 49.3	 2.5	  0.0	 7.0	l	  	 1.0	10.2300000	GAMA 106016
       8	   7	    106042	214.5621	+00.8911	 0.0260	277.5	 2.5	271.5	 0.5	  6.0	 3.0	s	  	 3.0	10.1400000	GAMA 106042
       9	   8	    106047	214.5697	+00.9863	 0.0534	194.1	 7.5	214.2	 0.5	 20.1	 8.0	s	  	 1.5	10.1400000	GAMA 106047
      10	   9	    106331	215.5132	+00.8621	 0.0360	335.9	 6.5	340.9	 0.5	  5.0	 7.0	s	  	 3.0	 9.6100000	GAMA 106331
      11	  10	    106376	215.8112	+00.9783	 0.0401	284.6	11.6	289.6	 0.5	  5.0	12.1	s	  	 3.0	10.2700000	GAMA 106376
      12	  11	    106389	215.9011	+01.0076	 0.0401	242.3	 2.0	238.3	 0.5	  4.0	 2.5	s	  	 2.0	10.2000000	GAMA 106389
      13	  12	    106507	216.4085	+01.0127	 0.0547	 23.1	 3.0	 27.1	 0.5	  4.0	 3.5	s	  	 3.0	10.2200000	GAMA 106507
      14	  13	    106549	216.5541	+00.8606	 0.0319	 78.4	 3.0	250.4	 3.0	171.9	 6.0	a	  	 0.5	10.2700000	GAMA 106549
      15	  14	    106616	216.7211	+00.9629	 0.0262	267.5	 6.0	264.5	 0.5	  3.0	 6.5	s	  	 3.0	 9.6600000	GAMA 106616
      16	  15	    106634	216.8129	+00.9311	 0.0523	279.6	 3.5	278.6	 0.5	  1.0	 4.0	s	  	 2.5	10.1500000	GAMA 106634
      17	  16	    106638	216.8349	+01.0259	 0.0257	187.0	 5.5	182.0	 7.5	  5.0	13.1	l	  	 2.0	10.9100000	GAMA 106638
      18	  17	    106717	217.0189	+01.0063	 0.0256	290.6	 1.0	288.6	 0.5	  2.0	 1.5	s	  	 3.0	10.1900000	GAMA 106717
      19	  18	    106810	217.3023	+00.8504	 0.0544	149.8	 1.0	161.9	 0.5	 12.1	 1.5	l	  	 1.5	10.7400000	GAMA 106810
      20	  19	    106839	217.5024	+01.0461	 0.0297	237.3	 1.0	232.3	 1.0	  5.0	 2.0	 	  	 1.0	10.5400000	GAMA 106839
