#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:06 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/511/139&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75110139
#Name: J/MNRAS/511/139
#Title: CRDs galaxies candidates in SDSS-IV MaNGA (Bevacqua+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/mnras/511/139	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/511/139	    IVOID of underlying data collection
#INFO	creator=Bevacqua D.	    First author or institution
#INFO	cites=bibcode:2022MNRAS.511..139B	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/511/139	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75110139	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-07-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_511_139_table1:
#Name: J/MNRAS/511/139/table1
#Title: Properties of Counter-Rotating stellar Disks galaxy candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MaNGAId	(A8)	MaNGA-ID associated with a unique MaNGA galaxy (MaNGA-ID)	[ucd=meta.id;meta.main]
#Column	DR15	(A4)	Link to see the MaNGA DR15 catalog	[ucd=meta.ref.url]
#Column	n_MaNGAId	(I1)	[1/2]? Note on MaNGAId objects (1)	[ucd=meta.note]
#Column	Mtype	(A2)	Galaxy Hubble morphology (Morphology) (2)	[ucd=src.morph.type]
#Column	logM*	(F5.2)	Stellar mass taken from Graham et al. 2019arXiv191005139G (log10M*)	[ucd=phys.mass]
#Column	Pth50	(F5.2)	Elliptical Petrosian 50 per cent light radius in SDSS r-band (Re)	[ucd=phys]
#Column	DPA	(F5.1)	? Difference of the kinematic position angles between the stellar and the gas velocity fields ({Delta}PA) (3)	[ucd=pos.posAng]
#Column	n_DPA	(A5)	Note on DPA (star/gas_alignment) (4)	[ucd=meta.note]
#Column	Pop	(A5)	[young old nan] Correspond to the corotation of the gaseous disk with the younger or older disk (star/gas_vs.pop)	[ucd=src.class]
#Column	logAge	(F5.2)	Luminosity weighted mean age within 1 R_e_ as in the equation 8 of the section 4.1 Stellar population maps (log10<Age>)	[ucd=phys.luminosity;stat.mean]
#Column	[M/H]	(F5.2)	Luminosity weighted mean metallicity within 1 R_e_ as in the equation 9 of the section 4.1 Stellar population maps (<[M/H]>)	[ucd=phys.luminosity;stat.mean]
#Column	GradAge	(F5.2)	Gradient of Age (GradAge) (5)	[ucd=time.age]
#Column	Grad[M/H]	(F5.2)	Gradient of metallicity (Grad[M/H]) (5)	[ucd=arith.grad;phys.abund]
#Column	Modality	(A5)	Modality of the weights maps from regularized fits (Modality) (6)	[ucd=src.class]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from MaNGA catalog DR15 Cat. J/AJ/154/86 (declination part)	[ucd=pos.eq.dec;meta.main]
recno	MaNGAId	DR15	n_MaNGAId	Mtype	logM*	Pth50	DPA	n_DPA	Pop	logAge	[M/H]	GradAge	Grad[M/H]	Modality	Simbad	_RA	_DE
 	 	 	 	 	[Msun]	kpc	deg	 	 	[yr]	[Sun]	[yr/kpc]	[Sun/kpc]	 	 	deg	deg
--------	--------	----	-	--	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	------	---------	---------
       1	12-84617	DR15	1	E 	 9.49	 1.46	 22.5	inner	nan  	 9.25	-1.05	 0.03	-0.04	sf   	Simbad	231.47876	+41.90977
       2	1-113520	DR15	 	E 	10.03	 1.07	135.0	mis  	nan  	 9.88	-0.15	 0.24	-0.22	multi	Simbad	317.50220	+11.51065
       3	1-115097	DR15	2	S0	10.54	 2.72	 11.0	inner	nan  	 9.92	-0.16	 0.10	-0.35	multi	Simbad	332.20345	+13.36474
       4	1-38347 	DR15	 	E 	11.11	 2.30	     	nan  	nan  	10.06	-0.01	 0.02	-0.19	multi	Simbad	051.25646	-00.19295
       5	1-339061	DR15	2	E 	10.67	 3.41	 29.0	outer	young	 9.79	-0.09	-0.18	-0.53	multi	Simbad	117.14434	+44.68828
       6	1-44047 	DR15	2	E 	10.55	 1.67	 17.0	outer	nan  	10.04	-0.15	-0.05	 0.01	multi	Simbad	119.64331	+41.57841
       7	1-44483 	DR15	2	S0	10.49	 2.33	  8.0	outer	young	 9.95	-0.08	 0.17	-0.36	multi	Simbad	119.83486	+42.05707
       8	1-556514	DR15	 	E 	11.36	 4.06	     	nan  	nan  	10.04	-0.01	 0.01	-0.23	uni  	Simbad	117.47538	+29.46814
       9	1-37494 	DR15	 	E 	10.62	 2.07	 10.0	outer	young	10.06	-0.33	-0.01	-0.07	nan  	Simbad	044.62547	+00.79423
      10	1-37155 	DR15	 	E 	11.32	 4.46	 24.0	outer	nan  	 9.75	 0.07	 0.29	-0.52	multi	Simbad	044.34947	-00.30941
      11	1-38543 	DR15	2	E 	10.73	 1.76	  0.5	inner	old  	 9.80	 0.09	-0.04	-0.14	multi	Simbad	054.03243	-00.59644
      12	1-47248 	DR15	2	E 	11.56	 6.06	     	nan  	nan  	10.03	 0.08	 0.21	-0.24	uni  	Simbad	131.88382	+53.90525
      13	1-137890	DR15	 	S0	10.39	 1.67	  0.5	inner	young	 9.31	-0.19	 0.08	-0.31	sf   	Simbad	137.21934	+44.93227
      14	1-255220	DR15	 	S0	10.23	 1.20	 30.0	mis  	nan  	 9.88	-0.26	 0.02	-0.13	multi	Simbad	157.84582	+42.27718
      15	1-282035	DR15	1	S0	10.13	 1.72	120.0	mis  	nan  	 8.61	-0.52	 0.70	-0.89	sf   	Simbad	184.52166	+43.08698
      16	1-251783	DR15	 	E 	10.55	 1.37	     	nan  	nan  	 9.75	-0.06	 0.02	-0.16	multi	Simbad	215.31148	+39.65254
      17	1-419257	DR15	2	S0	10.65	 2.61	  1.0	inner	young	 9.67	 0.00	-0.20	-0.31	sf   	Simbad	201.14052	+31.54638
      18	1-418023	DR15	 	E 	10.36	 1.00	 41.0	mis  	nan  	 9.97	-0.74	-0.17	 0.24	nan  	Simbad	205.75334	+36.16566
      19	1-167555	DR15	 	E 	 9.90	 2.24	 85.5	mis  	nan  	 9.95	-0.53	 0.36	-0.33	multi	Simbad	153.75261	+46.75675
      20	1-274440	DR15	 	S0	10.00	 1.20	 17.5	inner	young	 9.22	-0.46	 0.00	 0.06	sf   	Simbad	155.70867	+39.36894
      21	1-274545	DR15	1	U 	10.16	 2.12	  4.0	inner	nan  	 9.27	-0.59	-0.08	-0.05	sf   	Simbad	157.68590	+40.05744
      22	1-275185	DR15	 	E 	11.51	 6.40	     	nan  	nan  	10.04	 0.05	-0.01	-0.18	uni  	Simbad	157.98762	+40.30584
      23	1-167044	DR15	 	E 	11.58	 5.83	     	nan  	nan  	10.07	 0.13	 0.10	-0.25	uni  	Simbad	149.34688	+44.15476
      24	1-166613	DR15	 	E 	11.53	 4.57	     	nan  	nan  	 9.86	 0.13	 0.06	-0.27	multi	Simbad	144.51600	+42.97432
