#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:13 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:13	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/527/7438&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75277438
#Name: J/MNRAS/527/7438
#Title: MaNGA kinematic catalogue (Ristea+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/mnras/527/7438	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/527/7438	    IVOID of underlying data collection
#INFO	creator=Ristea A.	    First author or institution
#INFO	cites=bibcode:2024MNRAS.527.7438R	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/527/7438	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.75277438	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-05-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_527_7438_catalog:
#Name: J/MNRAS/527/7438/catalog
#Title: Catalogue of the kinematic properties of MaNGA DR17 galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Plateifu	(A11)	Plate-ifu of the observation, the same as in drpall_v3_1_1 (plateifu)	[ucd=obs.field]
#Column	MaNGA	(A9)	MaNGA ID of the galaxy, the same as in drpall_v3_1_1 (mangaid)	[ucd=meta.id.parent]
#Column	RAJ2000	(F15.11)	Right ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F15.11)	Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	logMstar	(F6.3)	log of the stellar mass (log_Mstar)	[ucd=phys.mass]
#Column	logSFR	(F6.3)	log of the star formation rate (log_SFR)	[ucd=meta.id;meta.main]
#Column	VelST1Re	(F19.15)	? Stellar rotational velocity at 1Re from the centred and inclination-corrected rotation curve (Vel_ST_1Re)	[ucd=phys.veloc.rotat]
#Column	e_VelST1Re	(F20.16)	? Error in stellar rotational velocity at 1Re, accounting for the uncertainty in the rotation curve centering (err_Vel_ST_1Re)	[ucd=stat.error]
#Column	VelST1.3Re	(F19.15)	? Stellar rotational velocity at 1.3Re from the centred and inclination-corrected rotation curve (Vel_ST_1.3Re)	[ucd=phys.veloc.rotat]
#Column	e_VelST1.3Re	(F19.16)	? Error in stellar rotational velocity at 1.3Re, accounting for the uncertainty in the rotation curve centering(err_Vel_ST_1.3Re)	[ucd=stat.error]
#Column	VelST2Re	(F19.15)	? Stellar rotational velocity at 2Re from the centred and inclination-corrected rotation curve (Vel_ST_2Re)	[ucd=phys.veloc.rotat]
#Column	e_VelST2Re	(F19.16)	? Error in stellar rotational velocity at 2Re, accounting for the uncertainty in the rotation curve centering (err_Vel_ST_2Re)	[ucd=stat.error]
#Column	VsigST1Re	(F19.16)	? Stellar rotational velocity to dispersion ratio integrated within 1Re (Vsig_ST_1Re)	[ucd=phys.veloc;arith.diff]
#Column	VsigST1.3Re	(F19.16)	? Stellar rotational velocity to dispersion ratio integrated within 1Re (Vsig_ST_1.3Re)	[ucd=phys.veloc;arith.diff]
#Column	VsigST2Re	(F19.16)	? Stellar rotational velocity to dispersion ratio integrated within 1Re (Vsig_ST_2Re)	[ucd=phys.veloc;arith.diff]
#Column	VelG1Re	(F19.15)	? Ionised gas rotational velocity at 1Re, from the centred and inclination-corrected rotation curve (Vel_G_1Re)	[ucd=phys.veloc.rotat]
#Column	e_VelG1Re	(F19.16)	? Error in ionised gas rotational velocity at 1Re, accounting for the uncertainty in the rotation curve centering (err_Vel_G_1Re)	[ucd=stat.error]
#Column	VelG1.3Re	(F19.15)	? Ionised gas rotational velocity at 1.3Re, from the centred and inclination-corrected rotation curve (Vel_G_1.3Re)	[ucd=phys.veloc.rotat]
#Column	e_VelG1.3Re	(F19.16)	? Error in ionised gas rotational velocity at 1.3Re, accounting for the uncertainty in the rotation curve centering (err_Vel_G_1.3Re)	[ucd=stat.error]
#Column	VelG2Re	(F19.15)	? Ionised gas rotational velocity at 2Re, from the centred and inclination-corrected rotation curve (Vel_G_2Re)	[ucd=phys.veloc.rotat]
#Column	e_VelG2Re	(F19.16)	? Error in ionised gas rotational velocity at 2Re, accounting for the uncertainty in the rotation curve centering (err_Vel_G_2Re)	[ucd=stat.error]
#Column	VsigG1Re	(D23.16)	? Ionised gas rotational velocity to dispersion ratio integrated within 1Re (Vsig_G_1Re)	[ucd=phys.veloc;arith.diff]
#Column	VsigG1.3Re	(F20.17)	? Ionised gas rotational velocity to dispersion ratio integrated within 1.3Re (Vsig_G_1.3Re)	[ucd=phys.veloc;arith.diff]
#Column	VsigG2Re	(F20.17)	? Ionised gas rotational velocity to dispersion ratio integrated within 2Re (Vsig_G_2Re)	[ucd=phys.veloc;arith.diff]
#Column	Sample	(I1)	[1/4] Sample (Sample) (1)	[ucd=src.sample]
#Column	RmaxST	(F4.1)	? The maximum radius in multiples of Re (out of 1Re, 1.3Re and 2Re) reached by the stellar rotation curve (Rmax_ST)	[ucd=phys.size.radius;stat.max]
#Column	RmaxG	(F4.1)	? The maximum radius in multiples of Re (out of 1Re, 1.3Re and 2Re) reached by the gas rotation curve (Rmax_G)	[ucd=phys.size.radius;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	Plateifu	MaNGA	RAJ2000	DEJ2000	logMstar	logSFR	VelST1Re	e_VelST1Re	VelST1.3Re	e_VelST1.3Re	VelST2Re	e_VelST2Re	VsigST1Re	VsigST1.3Re	VsigST2Re	VelG1Re	e_VelG1Re	VelG1.3Re	e_VelG1.3Re	VelG2Re	e_VelG2Re	VsigG1Re	VsigG1.3Re	VsigG2Re	Sample	RmaxST	RmaxG	Simbad
 	 	 	deg	deg	[Msun]	[Msun/yr]	km/s	km/s	km/s	km/s	km/s	km/s	 	 	 	km/s	km/s	km/s	km/s	km/s	km/s	 	 	 	 	 	 	
--------	-----------	---------	---------------	---------------	------	------	-------------------	--------------------	-------------------	-------------------	-------------------	-------------------	-------------------	-------------------	-------------------	-------------------	-------------------	-------------------	-------------------	-------------------	-------------------	-----------------------	--------------------	--------------------	-	----	----	------
       1	  8723-3704	  1-47429	129.95175328500	+54.58077035780	10.112	-0.542	101.499475073832429	 11.3490589447358925	114.046991179059518	12.3754834602999431	139.622740266055985	17.3308404365747108	 0.4737608231779808	 0.5823446759679680	 0.7227161248491176	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
       2	  9028-1901	 1-269227	242.66982182500	+30.25513914340	10.562	-2.381	 86.446586560391978	 17.5501148108609044	 85.728856018812110	19.9113444424944106	 28.260900804619105	34.1001879989029675	 0.1370090646266516	 0.1530686445722697	 0.1613002352840837	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
       3	  8720-3704	 1-351692	121.42954861200	+48.93377514320	10.748	-1.170	150.339058958741077	 17.7851312805151309	180.415824148829188	20.6909872810578790	188.190791660757384	26.3076625199005534	 0.2491063738208399	 0.2994156623707385	 0.3748681892115139	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
       4	 11967-3704	 1-335450	231.78757924100	 +9.07595495103	10.364	-0.629	116.907019572289869	 15.2211404622597488	129.071174994305295	16.0484366519459805	144.511287408302678	23.5069299911388114	 0.4236912197920272	 0.5007969365866648	 0.7029074498630767	158.776254846353993	 9.0793578755408735	163.888868864731421	 9.0793578755408735	179.126761132288379	 9.0793578755408735	 1.0434528428089529e+00	 1.24461291032110322	 1.73965884890699973	3	 2.0	 2.0	Simbad
       5	  9091-3703	 1-265124	241.09392495800	+26.78492370780	10.512	-1.438	127.972876766431639	 14.1294044437741793	122.291378508941378	18.0002437093197187	 73.163694255964245	27.8124209468803372	 0.2675242138894796	 0.3259361737337225	 0.3817575119575414	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
       6	  9028-3702	 1-269212	242.48735655600	+30.10652825250	10.662	-0.908	113.412504633210304	 11.1757411658140704	125.269769582167683	11.5036607987625406	153.172116392565101	14.2712413194471850	 0.4126918806374155	 0.5217223197343899	 0.6630866353130025	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
       7	  8254-3703	 1-276550	164.03934095100	+44.42825675850	 9.814	-1.751	 78.232160130589335	 16.9287462418867456	 91.204179793244833	18.9725776842821858	                   	                   	 0.5416409977735729	 0.5973625649845957	                   	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 1.3	    	Simbad
       8	 11941-3701	 1-135165	247.15071123500	+40.68555510490	11.182	-0.762	115.974565623652055	 15.4548740226468961	116.069865292586911	21.4012250320453639	 80.194552415310284	32.4688388642678873	 0.1965738428239684	 0.2156783986736719	 0.2376981439211333	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
       9	  9085-3701	 1-178473	259.67383497200	+27.94106051980	10.536	-1.271	112.401786757407038	  9.3461834014327039	129.391502946241815	 9.6229305912471013	169.347150394342549	11.7002890980488701	 0.3047697903525862	 0.4003941017387055	 0.5777572325301690	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      10	 11942-1902	 1-569171	246.93340165600	+39.54298949430	10.542	-1.428	121.325211634558528	 15.9832330744116433	161.424009259465237	17.6385875266994958	189.100926986853835	21.5201346100019393	 0.2007227513483982	 0.2382749923390368	 0.3361222677641579	241.031452405072002	66.1180297570366662	                   	                   	                   	                   	 9.4762762153438762e-01	                    	                    	3	 2.0	 1.0	Simbad
      11	 10840-1901	  1-76744	133.27806865500	 +3.81465039044	 9.866	-2.681	 83.197733114796847	 39.3999686448294142	 98.575016089450941	40.3228265455549675	133.913321643203545	44.3353203095219897	 0.3460867375949210	 0.4709882279912694	 0.6636996870146121	 75.686203942575887	52.9058284825950622	 73.143981021672090	56.5985004429366256	                   	                   	 4.2726904639674329e-01	 0.48444583651985523	                    	3	 2.0	 1.3	Simbad
      12	  7495-1902	12-129608	205.04476857300	+26.84104105810	 9.930	-2.927	 70.677866976877141	 23.6744324601332394	 81.185362473427404	24.2867779789252971	 91.765953085556191	28.7223883406685516	 0.4411396864794866	 0.5801752059218689	 0.6788531648724633	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      13	 11761-1901	 1-152010	194.45313830600	+52.77926581330	 9.807	-1.191	                   	                    	                   	                   	                   	                   	                   	                   	                   	 91.959239600269683	 9.4049407930426412	107.308010960784600	 9.4049407930426412	118.365825661527992	 9.4049407930426412	 1.0330358793823684e+00	 1.48973533540800251	 1.98293593376786381	2	    	 2.0	Simbad
      14	  8984-1901	 1-395547	203.24045939600	+27.71783420770	10.559	-2.218	166.050036501050386	 15.5790730484682118	191.803394652719930	15.9029521229260862	250.121128752709012	17.5491087620093822	 0.2133853474509685	 0.2872297982228732	 0.4395101201910213	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      15	  8979-3701	 1-248410	241.20852154900	+42.03580712430	 9.712	-0.824	                   	                    	                   	                   	                   	                   	                   	                   	                   	 65.332213308751207	 9.2302782748503738	 67.352394224850485	 9.2302782748503738	 80.979861241369150	13.0654175865891133	 6.6829588438318177e-01	 0.70380882017224433	 0.74490707949749380	2	    	 2.0	Simbad
      16	 12075-3703	  1-33876	 19.01755980660	 +0.01832276044	10.351	-2.684	 80.280528051623790	 41.1172968109487798	 94.934069230210071	41.9212124664237891	128.380280613327898	46.4022594988078509	 0.2765759494929762	 0.3605491519158761	 0.5619922132624545	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
      17	 10517-6101	  1-78715	151.01609322000	 +4.28144369832	10.760	-1.802	185.089649021575241	 16.9895527069511658	208.367949606077275	17.5253627549162445	247.695285227883119	21.8376741278367490	 0.2601762261767922	 0.3339300990867089	 0.5093076739082477	                   	                   	                   	                   	                   	                   	                       	                    	                    	1	 2.0	    	Simbad
