#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/474/1307&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74741307
#Name: J/MNRAS/474/1307
#Title: S0 galaxies morpho-kinematic properties (Mendez-Abreu+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/474/1307	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/474/1307	    IVOID of underlying data collection
#INFO	creator=Mendez-Abreu J.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.474.1307M	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/474/1307	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74741307	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_MNRAS_474_1307_tablea1:
#Name: J/MNRAS/474/1307/tablea1
#Title: Structural parameters of the bulge structures in our galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a13)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Band	(A1)	[griz] SDSS band	[ucd=instr.bandpass]
#Column	SuBre	(F4.1)	Effective surface brightness in Band	[ucd=phot.mag.sb]
#Column	e_SuBre	(F4.1)	Error in effective surface brightness in Band	[ucd=stat.error]
#Column	re	(F4.1)	Effective radius in Band in arcsec	[ucd=phys.angSize]
#Column	e_re	(F4.1)	Error in effective radius in Band in arcsec	[ucd=stat.error]
#Column	rek	(F4.1)	Effective radius in Band in kpc	[ucd=phys.size.radius]
#Column	e_rek	(F4.1)	Error in effective radius in Band in kpc	[ucd=stat.error]
#Column	n	(F4.1)	Sersic index in Band	[ucd=stat.fit.param]
#Column	e_n	(F4.1)	Error on Sersic index in Band	[ucd=stat.error]
#Column	qbulge	(F5.2)	Bulge axis ratio in Band	[ucd=phys.size.axisRatio]
#Column	e_qbulge	(F5.2)	Error in Bulge axis ratio in Band	[ucd=stat.error]
#Column	PA	(I3)	Position angle of the bulge in Band	[ucd=pos.posAng]
#Column	e_PA	(I1)	Error on position angle of the bulge in Band	[ucd=stat.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
recno	Galaxy	Band	SuBre	e_SuBre	re	e_re	rek	e_rek	n	e_n	qbulge	e_qbulge	PA	e_PA	Simbad	_RA	_DE
 	 	 	mag/arcsec2	mag/arcsec2	arcsec	arcsec	kpc	kpc	 	 	 	 	deg	deg	 	deg	deg
--------	-------------	-	----	----	----	----	----	----	----	----	-----	-----	---	-	------	---------	---------
       1	IC2341       	g	19.6	 0.2	 2.9	 0.3	 1.0	 0.1	 1.3	 0.1	 0.52	 0.03	  7	4	Simbad	125.92256	+21.43469
       2	IC2341       	r	18.9	 0.2	 3.0	 0.3	 1.0	 0.1	 1.4	 0.1	 0.55	 0.03	  5	4	Simbad	125.92256	+21.43469
       3	IC2341       	i	18.5	 0.2	 3.0	 0.3	 1.0	 0.1	 1.5	 0.1	 0.54	 0.03	  5	4	Simbad	125.92256	+21.43469
       4	MCG-01-52-012	g	19.2	 0.2	 3.5	 0.4	 0.9	 0.1	 1.6	 0.1	 0.48	 0.01	 86	3	Simbad	309.45821	-06.09079
       5	MCG-01-52-012	r	19.4	 0.2	 3.3	 0.4	 0.8	 0.1	 1.6	 0.1	 0.46	 0.01	 85	3	Simbad	309.45821	-06.09079
       6	MCG-01-52-012	i	18.6	 0.2	 3.5	 0.4	 0.9	 0.1	 1.7	 0.1	 0.46	 0.01	 86	3	Simbad	309.45821	-06.09079
       7	NGC0364      	g	19.0	 0.3	 1.5	 0.3	 0.5	 0.1	 1.4	 0.2	 0.85	 0.05	 42	6	Simbad	016.17031	-00.80266
       8	NGC0364      	r	18.3	 0.3	 1.7	 0.3	 0.5	 0.1	 1.4	 0.2	 0.90	 0.05	 41	6	Simbad	016.17031	-00.80266
       9	NGC0364      	i	17.9	 0.3	 1.7	 0.4	 0.5	 0.1	 1.6	 0.2	 0.87	 0.05	 45	6	Simbad	016.17031	-00.80266
      10	NGC0515      	g	18.6	 0.3	 1.7	 0.3	 0.5	 0.1	 1.5	 0.2	 0.84	 0.05	118	5	Simbad	021.16045	+33.47277
      11	NGC0515      	r	18.9	 0.3	 1.7	 0.3	 0.5	 0.1	 1.5	 0.2	 0.84	 0.05	118	6	Simbad	021.16045	+33.47277
      12	NGC0515      	i	17.7	 0.3	 1.6	 0.3	 0.5	 0.1	 1.8	 0.3	 0.82	 0.05	116	6	Simbad	021.16045	+33.47277
      13	NGC0528      	g	19.9	 0.2	 4.0	 0.4	 1.2	 0.1	 4.3	 0.4	 0.85	 0.03	 90	4	Simbad	021.38989	+33.67141
      14	NGC0528      	r	19.6	 0.2	 3.4	 0.4	 1.0	 0.1	 3.9	 0.4	 0.85	 0.03	 80	4	Simbad	021.38989	+33.67141
      15	NGC0528      	i	19.4	 0.2	 4.2	 0.5	 1.2	 0.1	 4.1	 0.4	 0.83	 0.03	 71	4	Simbad	021.38989	+33.67141
      16	NGC0677      	g	20.3	 0.1	 4.7	 0.3	 1.5	 0.1	 2.1	 0.1	 0.90	 0.01	 33	2	Simbad	027.30854	+13.05536
      17	NGC0677      	r	19.5	 0.1	 5.0	 0.3	 1.6	 0.1	 2.4	 0.1	 0.91	 0.01	 29	2	Simbad	027.30854	+13.05536
      18	NGC0677      	i	19.0	 0.1	 5.0	 0.4	 1.6	 0.1	 2.3	 0.1	 0.92	 0.01	 32	2	Simbad	027.30854	+13.05536
      19	NGC0842      	g	18.7	 0.1	 2.1	 0.1	 0.5	 0.1	 2.1	 0.1	 0.66	 0.02	138	3	Simbad	032.46164	-07.76240
