StreamName	TrackName	InfoFlags	Imp	On	Length_deg	RA_i_deg	DEC_i_deg	D_i_kpc	RA_f_deg	DEC_f_deg	D_f_kpc	TRefs	DRefs
20.0-1	20.0-1-M18	0000	po	1	36.6	280.2	-41.0	27.7	311.5	-16.3	25.1	47	47
300S	300S-F18	1101	st	1	11.1	151.8	16.0	18.0	163.2	14.4	14.4	14	51,63
AAU-AliqaUma	AAU-AliqaUma-L21	1111	st	1	9.7	31.2	-32.9	25.6	40.9	-38.5	30.8	39	60
AAU-ATLAS	AAU-ATLAS-L21	1111	st	1	23.6	8.9	-20.2	19.0	30.7	-33.5	25.6	39	36
AAU-ATLAS	ATLAS-I21	1110	st	0	18.1	17.4	-25.2	24.8	35.1	-34.9	20.4	32	36
Acheron	Acheron-G09	0000	ep	1	36.5	230.0	-2.0	3.5	259.0	21.0	3.8	20	20
ACS	ACS-R21	1110	st	1	57.7	154.4	80.0	11.7	125.5	24.0	11.7	59	17
Alpheus	Alpheus-G13	1100	st	1	24.2	21.6	-69.0	1.6	27.7	-45.0	2.0	21	21
Aquarius	Aquarius-W11	1111	st	1	12.4	338.8	-7.5	4.8	351.1	-9.9	3.3	70	70
C-19	C-19-I21	1010	st	1	29.7	354.2	36.1	18.0	355.3	6.4	18.0	44	32
C-4	C-4-I21	1110	st	1	13.6	165.2	84.3	4.0	249.6	77.1	3.2	32	32
C-5	C-5-I21	1110	st	1	6.1	113.4	36.7	3.4	119.8	33.6	5.6	32	32
C-7	C-7-I21	1110	st	1	24.9	270.9	-53.1	6.1	305.0	-42.6	5.9	32	32
C-8	C-8-I21	1110	st	1	10.2	327.4	-81.8	3.6	346.6	-72.6	3.5	32	32
Cetus-New	Cetus-New-Y21	1110	st	1	67.8	25.6	-0.2	20.4	26.6	-68.0	18.7	74	74
Cetus-Palca	Cetus-Palca-T21	1110	st	1	100.9	47.3	-67.1	34.9	13.0	30.4	26.3	68	72,50,60,68
Cetus-Palca	Cetus-Palca-Y21	1110	st	0	152.2	0.5	46.2	25.0	127.4	-72.1	55.6	74	72,50,60,68
Cetus	Cetus-Y13	1100	st	1	30.1	20.0	-4.1	27.2	32.2	23.5	32.5	71	72,50
Cocytos	Cocytos-G09	0000	ep	1	75.1	186.0	-3.0	11.0	259.0	20.0	11.0	20	20
Corvus	Corvus-M18	0000	po	1	73.0	140.7	-13.0	4.9	215.9	-19.0	14.8	47	47
Elqui	Elqui-S19	1010	st	1	10.9	10.8	-37.2	50.1	22.6	-43.4	50.1	61,60	60
Eridanus	Eridanus-M17	1000	st	1	0.6	66.0	-21.4	95.0	66.4	-21.0	95.0	48,28	48
Fimbulthul	Fimbulthul-I21	1110	st	0	38.8	188.7	-40.0	5.1	223.6	-24.7	3.4	32	30
Gaia-1	Gaia-1-I21	1110	st	1	34.6	183.1	-20.8	5.0	203.3	7.5	4.5	32	41
Gaia-10	Gaia-10-I21	1110	st	1	17.2	150.7	16.0	17.4	168.5	14.1	12.1	32	30
Gaia-11	Gaia-11-I21	1110	st	1	21.7	267.7	48.7	11.5	277.3	28.3	13.8	32	32
Gaia-12	Gaia-12-I21	1110	st	1	13.7	36.0	20.3	13.3	46.7	11.2	10.9	32	30
Gaia-2	Gaia-2-I21	1110	st	1	14.4	1.8	-8.5	7.0	9.1	-21.0	7.0	32	41
Gaia-3	Gaia-3-M18	0000	ep	1	18.5	171.0	-15.0	9.0	179.0	-32.0	14.0	41	41
Gaia-4	Gaia-4-M18	0000	ep	1	8.9	163.0	-11.0	10.7	167.0	-3.0	11.5	41	41
Gaia-5	Gaia-5-M18	0000	ep	1	23.7	137.0	23.0	18.5	154.0	42.0	20.5	41	41
Gaia-6	Gaia-6-I21	1110	st	1	21.1	204.8	25.5	8.5	224.4	38.6	9.9	32	30
Gaia-7	Gaia-7-I21	1110	st	1	14.6	175.0	-8.4	4.6	184.3	-19.8	5.1	32	30
Gaia-8	Gaia-8-I21	1110	st	1	21.1	181.7	-24.9	7.5	200.0	-12.8	6.8	32	32
Gaia-9	Gaia-9-I21	1110	st	1	22.0	219.9	70.8	3.8	244.2	51.8	5.3	32	32
GD-1	GD-1-I21	1110	st	1	102.5	123.3	-10.1	9.2	219.9	57.9	11.7	32	18
GD-1	GD-1-PB18	1110	st	0	100.0	124.1	-8.0	5.5	219.6	58.2	10.5	57,35	18
Gunnthra	Gunnthra-I21	1110	st	1	20.2	265.9	-76.4	3.1	300.1	-60.3	3.2	32	32
