#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:44 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/768/172/table2&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_17680172
#Name: J/ApJ/768/172
#Title: Kinematic analysis of red giant in M31 dSphs (Collins+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/apj/768/172	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/768/172	    IVOID of underlying data collection
#INFO	creator=Collins M.L.M.	    First author or institution
#INFO	cites=bibcode:2013ApJ...768..172C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/768/172	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.17680172	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_768_172_table2:
#Name: J/ApJ/768/172/table2
#Title: Details of spectroscopic observations
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a10)	Field (dwarf spheroidal) name	[ucd=meta.id;meta.main]
#Column	m_Gal	(A1)	[ab] Index in case of multiple observations	[ucd=meta.code.multip]
#Column	Date	(A10)	Observation date	[ucd=time.epoch;obs]
#Column	n_Date	(A3)	Observation on several days	[ucd=meta.note]
#Column	Inst	(a13)	Instrument and grating	[ucd=instr]
#Column	Res	(F4.1)	[1.3/3.5] Resolution in {AA}	[ucd=spect.resolution]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	PA	(I3)	[0/315] Slit position angle	[ucd=pos.posAng]
#Column	Exp	(I4)	[1200/5400] Exposure time	[ucd=time.duration;obs.exposure]
#Column	Ntar	(I3)	[33/196] Number of targets observed	[ucd=meta.id]
#Column	Nmem	(I2)	[1/43] Number of member stars observed	[ucd=meta.number]
recno	Gal	m_Gal	Date	n_Date	Inst	Res	RAJ2000	DEJ2000	PA	Exp	Ntar	Nmem
 	 	 	"Y:M:D"	 	 	0.1nm	"h:m:s"	"d:m:s"	deg	s	 	
--------	----------	-	----------	---	-------------	----	-----------	-----------	---	----	---	--
       1	And V     	 	2009-08-16	   	LRIS 831/8200	 3.0	01 10 18.21	+47 37 53.3	  0	3600	 50	15
       2	And VI    	 	2009-09-17	/19	DEIMOS 1200  	 1.3	23 51 51.49	+24 34 57.0	  0	5400	113	43
       3	And XI    	 	2006-09-23	   	DEIMOS 600   	 3.5	00 46 28.08	+33 46 28.8	  0	3600	 33	 5
       4	And XII   	 	2006-09-21	/23	DEIMOS 600   	 3.5	00 47 32.89	+34 22 28.6	  0	3600	 49	 8
       5	And XIII  	 	2006-09-23	   	DEIMOS 600   	 3.5	00 52 00.22	+32 59 16.2	  0	3600	 46	 4
       6	And XVII  	 	2011-09-26	   	DEIMOS 1200  	 1.3	00 37 51.09	+44 17 51.9	280	3600	149	 8
       7	And XVIII 	 	2010-09-09	   	DEIMOS 1200  	 1.3	00 02 14.50	+45 05 20.0	 90	3600	 73	 4
       8	And XIX   	a	2011-09-26	   	DEIMOS 600   	 3.5	00 19 45.04	+35 05 28.8	270	3600	107	15
       9	And XIX   	b	2011-09-26	   	DEIMOS 1200  	 1.3	00 19 30.88	+35 07 34.1	  0	3600	108	 9
      10	And XX    	 	2010-09-09	   	DEIMOS 1200  	 1.3	00 07 30.69	+35 08 02.4	 90	3600	 85	 4
      11	And XXI   	 	2011-09-26	   	DEIMOS 1200  	 1.3	23 54 47.70	+42 28 33.6	180	3600	157	32
      12	And XXII  	a	2009-09-23	   	DEIMOS 1200  	 1.3	01 27 52.37	+28 05 22.3	 90	1200	 93	 4
      13	And XXII  	b	2010-09-10	   	DEIMOS 1200  	 1.3	01 27 52.37	+28 05 22.3	  0	3600	 73	 6
      14	And XXIII 	a	2010-09-09	   	DEIMOS 1200  	 1.3	01 29 18.18	+38 43 50.4	315	3600	196	24
      15	And XXIII 	b	2010-09-10	   	DEIMOS 1200  	 1.3	01 29 21.87	+38 44 58.7	245	3600	189	18
      16	And XXIV  	a	2010-09-09	   	DEIMOS 1200  	 1.3	01 18 32.90	+46 22 50.0	 30	3600	192	 1
      17	And XXIV  	b	2011-05-31	   	DEIMOS 600   	 3.5	01 18 32.90	+46 22 50.0	  0	2700	115	11
      18	And XXV   	 	2010-09-10	   	DEIMOS 1200  	 1.3	00 30 01.88	+46 50 31.0	 90	3600	183	26
      19	And XXVI  	 	2010-09-10	   	DEIMOS 1200  	 1.3	00 23 41.42	+47 54 56.8	 90	3600	179	 6
      20	And XXVII 	 	2010-09-10	   	DEIMOS 1200  	 1.3	00 37 31.93	+45 23 55.4	 45	3600	131	 8
      21	And XXVIII	 	2012-09-21	   	DEIMOS 1200  	 1.3	22 32 32.71	+31 13 13.2	140	3600	102	17
      22	And XXX   	 	2011-09-28	   	DEIMOS 1200  	 1.3	00 37 00.84	+49 39 12.0	270	3600	156	 8

