#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:14:30 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:14:30	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/933/47/table6&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19330047
#Name: J/ApJ/933/47
#Title: The ELVES survey photometric results (Carlsten+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/933/47	    IVOID of underlying data collection
#INFO	creator=Carlsten S.G.	    First author or institution
#INFO	cites=bibcode:2022ApJ...933...47C	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/933/47	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19330047	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_933_47_table6:
#Name: J/ApJ/933/47/table6
#Title: Confirmed dwarf satellite distance results
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a14)	Dwarf galaxy name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F7.3)	[11.78/288] Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F7.3)	[-64.3/56] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Host	(A7)	Host galaxy name	[ucd=meta.id.parent]
#Column	D-Host	(F5.2)	[3.5/12] Host distance	[ucd=pos.distance]
#Column	D-SBF	(F5.2)	[3.3/13]? Surface brightness fluctuation (SBF) distance	[ucd=pos.distance]
#Column	lb2Dist	(F5.2)	[1.8/11.5]? Lower 2{sigma} bound on Dist	[ucd=pos.distance;stat.min]
#Column	lb1Dist	(F5.2)	[2.7/12]? Lower 1{sigma} bound on Dist	[ucd=pos.distance;stat.min]
#Column	ub1Dist	(F5.2)	[4.3/15]? Upper 1{sigma} bound on Dist	[ucd=pos.distance;stat.max]
#Column	ub2Dist	(F5.2)	[5.5/18]? Upper 2{sigma} bound on Dist	[ucd=pos.distance;stat.max]
#Column	SNR	(F5.2)	[3.2/83]? SBF Signal-to-noise ratio	[ucd=stat.snr]
#Column	Tel	(a8)	SBF Source (1)	[ucd=meta.ref]
#Column	Conf	(A5)	Confirmation criteria exception (G1)	[ucd=meta.code]
#Column	vrec	(I4)	[140/1353]? Recessional velocity	[ucd=phys.veloc]
#Column	r_vrec	(A4)	Source for vrec (G2)	[ucd=meta.ref;phys.veloc]
#Column	D-trgb	(F5.2)	[3/11]? Distance, tip of the red giant branch	[ucd=pos.distance]
#Column	r_D-trgb	(A1)	Source for D-trgb (G2)	[ucd=meta.ref;pos.distance]
#Column	UV	(I3)	Display the GALEX photometry for this satellite (link to Table 10)	[ucd=meta.ref.url]
recno	Name	RAJ2000	DEJ2000	Host	D-Host	D-SBF	lb2Dist	lb1Dist	ub1Dist	ub2Dist	SNR	Tel	Conf	vrec	r_vrec	D-trgb	r_D-trgb	UV
 	 	deg	deg	 	Mpc	Mpc	Mpc	Mpc	Mpc	Mpc	 	 	 	km/s	 	Mpc	 	
--------	--------------	-------	-------	-------	-----	-----	-----	-----	-----	-----	-----	--------	-----	----	----	-----	-	---
       1	NGC247        	011.783	-20.757	NGC253 	 3.56	     	     	     	     	     	     	        	     	 159	S   	 3.72	a	  0
       2	dw0047m2623   	011.894	-26.390	NGC253 	 3.56	     	     	     	     	     	     	        	     	    	    	 3.90	b	  1
       3	dw0049m2100   	012.454	-21.017	NGC253 	 3.56	     	     	     	     	     	     	        	     	 295	S   	 3.44	a	  1
       4	dw0050m2444   	012.575	-24.737	NGC253 	 3.56	     	     	     	     	     	     	        	     	    	    	 3.12	c	  0
       5	dw0055m2309   	013.754	-23.169	NGC253 	 3.56	     	     	     	     	     	     	        	     	 250	a   	     	 	  1
       6	dw0132p1422   	023.249	+14.374	NGC628 	 9.77	     	     	     	     	     	     	        	     	 669	S   	     	 	  0
       7	dw0133p1543   	023.484	+15.731	NGC628 	 9.77	 9.18	 7.28	 8.24	10.16	11.22	 8.29	GEMINI  	False	    	    	     	 	  1
       8	dw0134p1544   	023.554	+15.746	NGC628 	 9.77	10.50	 8.76	 9.64	11.42	12.36	 9.63	GEMINI  	False	    	    	     	 	  1
       9	dw0134p1438   	023.674	+14.644	NGC628 	 9.77	     	     	     	     	     	     	        	     	 731	S   	     	 	  0
      10	dw0136p1628   	024.084	+16.470	NGC628 	 9.77	 9.45	 7.88	 8.71	10.17	10.87	22.76	GEMINI  	False	    	    	     	 	  1
      11	dw0137p1537   	024.324	+15.633	NGC628 	 9.77	10.12	 7.04	 8.45	11.99	14.09	 8.05	CFHT    	False	    	    	     	 	  1
      12	dw0137p1607   	024.416	+16.132	NGC628 	 9.77	 9.05	 6.83	 7.91	10.31	11.84	 5.90	GEMINI  	False	    	    	     	 	  1
      13	dw0138p1458   	024.502	+14.982	NGC628 	 9.77	 8.61	 7.25	 7.87	 9.48	10.52	 6.34	GEMINI  	False	 738	S   	     	 	  0
      14	UGC1171       	024.937	+15.899	NGC628 	 9.77	10.13	 8.43	 9.17	11.41	13.05	 5.41	GEMINI  	False	 696	S   	     	 	  1
      15	dw0139p1433   	024.961	+14.556	NGC628 	 9.77	10.82	 9.32	10.02	11.78	12.87	 8.04	GEMINI  	False	    	    	     	 	  1
      16	dw0140p1556   	025.040	+15.939	NGC628 	 9.77	11.78	 9.67	10.60	13.27	15.09	 6.10	GEMINI  	False	    	    	     	 	  1
      17	UGC1176       	025.043	+15.905	NGC628 	 9.77	     	     	     	     	     	     	        	     	 632	S   	     	 	  1
      18	dw0143p1541   	025.901	+15.694	NGC628 	 9.77	 8.64	 7.42	 8.03	 9.35	10.12	 8.57	GEMINI  	False	 789	S   	     	 	  1
      19	dw0221p4221   	035.301	+42.364	NGC891 	 9.12	10.48	 7.81	 9.10	11.94	13.49	10.57	CFHT    	False	    	    	10.28	d	  1
      20	UGC1807       	035.306	+42.763	NGC891 	 9.12	     	     	     	     	     	     	        	     	 630	S   	     	 	  1
      21	dw0222p4242   	035.730	+42.712	NGC891 	 9.12	10.28	 7.68	 8.90	11.85	13.74	 6.29	CFHT    	False	    	    	     	 	  1
      22	dw0235p3850   	038.976	+38.836	NGC1023	10.40	11.69	 9.88	10.79	12.63	13.61	11.33	CFHT    	False	    	    	     	 	  0
      23	IC239         	039.116	+38.969	NGC1023	10.40	     	     	     	     	     	     	        	     	 904	S   	     	 	  0
      24	dw0237p3855   	039.328	+38.933	NGC1023	10.40	 7.06	 6.02	 6.57	 7.54	 8.03	37.55	CFHT    	True 	    	    	     	 	  0
      25	dw0237p3836   	039.414	+38.600	NGC1023	10.40	10.57	 8.89	 9.74	11.39	12.19	20.78	CFHT    	False	    	    	     	 	  0
      26	dw0239p3926   	039.832	+39.434	NGC1023	10.40	10.85	 9.37	10.15	11.55	12.27	14.42	CFHT    	False	    	    	     	 	  1
      27	dw0239p3903   	039.843	+39.055	NGC1023	10.40	 8.63	 5.65	 7.07	10.41	12.58	 8.20	CFHT    	False	    	    	     	 	  1
      28	dw0239p3902   	039.946	+39.047	NGC1023	10.40	11.51	 9.39	10.41	12.72	14.17	 6.96	CFHT    	False	    	    	     	 	  1
      29	UGC2157       	040.104	+38.563	NGC1023	10.40	     	     	     	     	     	     	        	     	 488	S   	     	 	  1
      30	dw0240p3854   	040.137	+38.900	NGC1023	10.40	11.21	10.37	10.77	11.69	12.19	19.14	CFHT    	False	    	    	     	 	  1
      31	dw0240p3903   	040.154	+39.059	NGC1023	10.40	     	     	     	     	     	     	        	     	 738	S   	     	 	  1
      32	dw0240p3922   	040.165	+39.379	NGC1023	10.40	11.59	 9.74	10.56	12.83	14.37	 6.31	CFHT    	False	    	    	     	 	  1
      33	dw0241p3904   	040.251	+39.073	NGC1023	10.40	12.40	11.45	11.91	12.92	13.50	22.23	CFHT    	True 	 594	S   	     	 	  1
      34	UGC2165       	040.315	+38.744	NGC1023	10.40	10.75	 8.98	 9.93	11.55	12.29	47.48	CFHT    	False	 741	S   	     	 	  1
      35	dw0242p3838   	040.603	+38.635	NGC1023	10.40	 9.86	 8.14	 8.92	11.04	12.46	 6.23	CFHT    	False	    	    	     	 	  1
      36	dw0309m4104   	047.355	-41.083	NGC1291	 9.08	 8.74	 7.13	 7.97	 9.52	10.34	11.25	MAGELLAN	False	    	    	     	 	  1
      37	dw0309m4101   	047.409	-41.031	NGC1291	 9.08	     	     	     	     	     	     	        	     	 956	e   	     	 	  1
      38	dw0310m4000   	047.543	-40.003	NGC1291	 9.08	     	     	     	     	     	     	        	     	 711	e   	     	 	  1
      39	dw0315m4040   	048.791	-40.667	NGC1291	 9.08	 7.81	 6.36	 7.10	 8.53	 9.26	10.70	MAGELLAN	False	    	    	     	 	  1
      40	dw0317m4142   	049.256	-41.700	NGC1291	 9.08	 9.03	 6.57	 7.76	10.45	12.17	 5.59	DECAM   	False	    	    	     	 	  1
