#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:16:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:16:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/833/167/dsph&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18330167
#Name: J/ApJ/833/167
#Title: PAndAS view of Andromeda satellites. II. (Martin+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/833/167	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/833/167	    IVOID of underlying data collection
#INFO	creator=Martin N.F.	    First author or institution
#INFO	cites=bibcode:2016ApJ...833..167M	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/833/167	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18330167	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_833_167_dsph:
#Name: J/ApJ/833/167/dsph
#Title: Derived parameters of the dwarf galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a8)	Galaxy Name	[ucd=meta.id;meta.main]
#Column	C	(A1)	Display the 500 randomly selected drawings for this dwarf galaxy (link to table 3)	[ucd=meta.ref.url]
#Column	Flag	(a6)	Flag(s) on Gal or other name (G1)	[ucd=meta.code.error]
#Column	RAJ2000	(A10)	Hour of right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	e_RAJ2000	(F4.1)	[0.3/3] RA uncertainty	[ucd=stat.error;pos.eq.ra]
#Column	DEJ2000	(A9)	Degree of declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	e_DEJ2000	(I2)	[4/53] DE uncertainty	[ucd=stat.error;pos.eq.dec]
#Column	ell	(F5.2)	[0/0.7] Ellipticity {epsilon}	[ucd=src.ellipticity]
#Column	e_ell	(F5.2)	[0/0.5] Negative error on ell	[ucd=stat.error]
#Column	E_ell	(F5.2)	[0.02/0.5] Positive error on ell	[ucd=stat.error;stat.max]
#Column	PA	(I3)	[-20/140] Position angle {theta}	[ucd=pos.posAng]
#Column	e_PA	(I2)	[3/90] Negative error on PA	[ucd=stat.error]
#Column	E_PA	(I2)	[3/90] Positive error on PA	[ucd=stat.error;stat.max]
#Column	rh	(F4.1)	[0.4/14.2] Half-light radius in arcminutes	[ucd=phys.angSize;src]
#Column	e_rh	(F4.1)	[0.1/2] Negative error on rh	[ucd=stat.error]
#Column	E_rh	(F4.1)	[0.1/3.4] Positive error on rh	[ucd=stat.error;stat.max]
#Column	u_rhpc	(A1)	[~] Uncertainty flag on rhpc	[ucd=meta.code.error]
#Column	rhpc	(I4)	Half-light radius in parsecs (G2)	[ucd=phys.size.radius]
#Column	e_rhpc	(I4)	[15/1065]? Negative error on rhpc	[ucd=stat.error]
#Column	E_rhpc	(I3)	[30/935]? Positive error on rhpc	[ucd=stat.error;stat.max]
#Column	Vmag	(F4.1)	[12.4/18.5] Apparent magnitude m_v,0_	[ucd=phot.mag;em.opt]
#Column	e_Vmag	(F4.1)	[0.2/0.5] Negative uncertainty on Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	E_Vmag	(F4.1)	[0.2/0.7] Positive uncertainty on Vmag	[ucd=stat.error;stat.max]
#Column	VMag	(F5.1)	[-11.6/-5.8] Absolute magnitude M_v,0_ (G2)	[ucd=phys.magAbs;em.opt.V]
#Column	e_VMag	(F4.1)	[0.2/1] Negative uncertainty on VMag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	E_VMag	(F4.1)	[0.2/0.9] Positive uncertainty on VMag	[ucd=stat.error;stat.max]
#Column	logL	(F5.2)	[4.2/6.6] Log of the luminosity of the dwarf galaxy (G2)	[ucd=phys.luminosity]
#Column	e_logL	(F5.2)	[0.09/0.4] Negative uncertainty on logL	[ucd=stat.error]
#Column	E_logL	(F5.2)	[0.09/0.4] Positive uncertainty on logL	[ucd=stat.error;stat.max]
#Column	mu0	(F4.1)	[25/29.3] Central surface brightness	[ucd=phot.mag.sb]
#Column	e_mu0	(F4.1)	[0.2/1] Negative uncertainty on mu0	[ucd=stat.error]
#Column	E_mu0	(F4.1)	[0.2/1] Positive uncertainty on mu0	[ucd=stat.error;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	Gal	C	Flag	RAJ2000	e_RAJ2000	DEJ2000	e_DEJ2000	ell	e_ell	E_ell	PA	e_PA	E_PA	rh	e_rh	E_rh	u_rhpc	rhpc	e_rhpc	E_rhpc	Vmag	e_Vmag	E_Vmag	VMag	e_VMag	E_VMag	logL	e_logL	E_logL	mu0	e_mu0	E_mu0	Simbad	NED
 	 	 	 	"h:m:s"	s	"d:m:s"	arcsec	 	 	 	deg	deg	deg	arcmin	arcmin	arcmin	 	pc	pc	pc	mag	mag	mag	mag	mag	mag	[Lsun]	[Lsun]	[Lsun]	mag/arcsec2	mag/arcsec2	mag/arcsec2	 	
--------	--------	-	------	----------	----	---------	--	-----	-----	-----	---	--	--	----	----	----	-	----	----	---	----	----	----	-----	----	----	-----	-----	-----	----	----	----	------	---
       1	AndI    	*	      	00 45 39.7	 0.3	+38 02 15	 6	 0.28	 0.03	 0.03	 30	 4	 4	 3.9	 0.1	 0.1	 	 815	  40	 40	13.1	 0.2	 0.2	-11.2	 0.2	 0.2	 6.38	 0.10	 0.10	25.4	 0.2	 0.2	Simbad	NED
       2	AndII   	*	      	01 16 26.8	 0.4	+33 26 07	 6	 0.16	 0.02	 0.02	 31	 5	 5	 5.3	 0.1	 0.1	 	 965	  45	 45	12.4	 0.2	 0.2	-11.6	 0.2	 0.2	 6.54	 0.09	 0.09	25.6	 0.2	 0.2	Simbad	NED
       3	AndIII  	*	      	00 35 30.9	 0.4	+36 29 56	 8	 0.59	 0.04	 0.04	140	 3	 3	 2.0	 0.2	 0.2	 	 405	  35	 35	14.8	 0.2	 0.2	 -9.5	 0.3	 0.3	 5.68	 0.10	 0.10	25.1	 0.3	 0.3	Simbad	NED
       4	AndV    	*	      	01 10 17.5	 0.4	+47 37 42	 6	 0.26	 0.07	 0.09	 54	10	10	 1.6	 0.1	 0.2	 	 345	  40	 40	15.1	 0.2	 0.2	 -9.3	 0.2	 0.2	 5.61	 0.10	 0.10	25.6	 0.3	 0.3	Simbad	NED
       5	AndIX   	*	      	00 52 53.4	 0.7	+43 11 57	 8	 0.00	 0.00	 0.16	 41	65	65	 2.0	 0.2	 0.3	 	 360	  50	 60	15.6	 0.3	 0.3	 -8.5	 0.3	 0.3	 5.30	 0.10	 0.10	26.7	 0.3	 0.3	Simbad	NED
       6	AndX    	*	b,c   	01 06 35.4	 0.6	+44 48 27	10	 0.10	 0.10	 0.34	 30	12	20	 1.1	 0.2	 0.4	 	 210	  35	 70	16.7	 0.3	 0.3	 -7.4	 0.3	 0.3	 4.90	 0.10	 0.10	26.6	 0.5	 0.6	Simbad	NED
       7	AndXI   	*	      	00 46 19.7	 0.6	+33 48 10	 8	 0.19	 0.19	 0.28	 54	30	30	 0.6	 0.2	 0.2	 	 120	  44	 53	18.0	 0.4	 0.4	 -6.3	 0.4	 0.6	 4.40	 0.20	 0.20	26.8	 0.6	 0.6	Simbad	NED
       8	AndXII  	*	c     	00 47 28.3	 1.3	+34 22 38	37	 0.61	 0.48	 0.16	 16	36	12	 1.8	 0.7	 1.2	 	 420	 200	280	17.7	 0.5	 0.5	 -7.0	 0.5	 0.7	 4.70	 0.20	 0.20	28.7	 0.9	 0.7	Simbad	NED
       9	AndXIII 	*	      	00 51 51.0	 0.5	+33 00 16	13	 0.61	 0.20	 0.14	-20	12	 9	 0.8	 0.3	 0.4	 	 130	  62	 80	17.8	 0.4	 0.4	 -6.5	 0.5	 0.7	 4.50	 0.30	 0.20	26.6	 0.6	 0.6	Simbad	NED
      10	AndXIV  	*	      	00 51 35.0	 0.5	+29 41 23	10	 0.17	 0.17	 0.16	 -4	14	14	 1.5	 0.2	 0.2	~	 265	    	   	15.8	 0.3	 0.3	 -8.5	 0.3	 0.4	 5.30	 0.20	 0.10	26.3	 0.3	 0.3	Simbad	NED
      11	AndXV   	*	      	01 14 18.3	 0.5	+38 07 11	 7	 0.24	 0.10	 0.10	 38	15	15	 1.3	 0.1	 0.1	 	 230	  25	 35	16.0	 0.3	 0.3	 -8.0	 0.4	 0.3	 5.10	 0.10	 0.20	26.1	 0.3	 0.3	Simbad	NED
      12	AndXVI  	*	      	00 59 30.3	 0.4	+32 22 34	 4	 0.29	 0.08	 0.08	 98	 9	 9	 1.0	 0.1	 0.1	 	 130	  15	 30	16.1	 0.3	 0.3	 -7.3	 0.3	 0.3	 4.80	 0.10	 0.10	25.5	 0.3	 0.3	Simbad	NED
      13	AndXVII 	*	      	00 37 06.3	 0.6	+44 19 23	 6	 0.50	 0.10	 0.10	110	 9	 9	 1.4	 0.3	 0.3	 	 285	  45	 55	16.6	 0.3	 0.3	 -7.8	 0.3	 0.3	 5.00	 0.10	 0.10	26.4	 0.3	 0.4	Simbad	NED
      14	AndXVIII	*	      	00 02 15.6	 0.5	+45 05 28	11	 0.03	 0.03	 0.28	 42	84	40	 0.8	 0.1	 0.1	 	 265	  50	 50	16.2	 0.4	 0.4	 -9.2	 0.4	 0.3	 5.60	 0.20	 0.20	25.2	 0.5	 0.4	Simbad	NED
      15	AndXIX  	*	b     	00 19 34.5	 3.0	+35 02 41	53	 0.58	 0.10	 0.05	 34	 5	 5	14.2	 1.9	 3.4	 	3065	1065	935	14.5	 0.3	 0.3	-10.0	 0.4	 0.8	 5.90	 0.30	 0.10	29.3	 0.4	 0.4	Simbad	NED
      16	AndXX   	*	      	00 07 30.6	 0.4	+35 07 37	 6	 0.11	 0.11	 0.41	 90	44	20	 0.4	 0.1	 0.2	 	  90	  20	 35	18.0	 0.4	 0.4	 -6.4	 0.4	 0.5	 4.40	 0.20	 0.20	25.8	 0.7	 0.7	Simbad	NED
