#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-04T04:15:43 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-04T04:15:43	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/907/85/table3&-out.all&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_19070085
#Name: J/ApJ/907/85
#Title: The SAGA Survey. II. Satellite systems around galaxies (Mao+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apj/907/85	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/907/85	    IVOID of underlying data collection
#INFO	creator=Mao Y.-Y.	    First author or institution
#INFO	cites=bibcode:2021ApJ...907...85M	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/907/85	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.19070085	    Dataset identifier that can be used for citation
#INFO	publication_date=2026-02-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_907_85_table3:
#Name: J/ApJ/907/85/table3
#Title: List of 127 satellites in 34 complete SAGA systems
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Gal	(a11)	Host galaxy, common name	[ucd=meta.id.assoc]
#Column	objID	(a19)	Object ID (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	[20/355] Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	[-60/54] Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(I3)	[15/298] Projected distance to the host galaxy	[ucd=pos.distance]
#Column	dRVel	(I4)	[-259/259] Difference in heliocentric velocity, satellite-host	[ucd=phys.veloc;arith.diff]
#Column	rmag	(F5.2)	[12.7/21.7] dereddened r-band magnitude (1)	[ucd=phot.mag;em.opt.R]
#Column	RMAG	(F5.1)	[-20.2/-10.7] k-corrected, absolute r-band magnitude (2)	[ucd=phys.magAbs]
#Column	g-r	(F5.2)	[0.06/0.69] dereddened, g-r color (1)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	mu	(F5.2)	[19.4/25.8] effective surface brightness (1)	[ucd=phot.mag.sb]
#Column	Mass	(F5.2)	[5.65/10.1] log, stellar mass (3)	[ucd=phys.mass]
#Column	Ha	(A1)	[YN] Presence of the H{alpha}>2Angstroms	[ucd=meta.code]
#Column	Ref	(a6)	Redshift source (4)	[ucd=meta.bib]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
recno	Gal	objID	RAJ2000	DEJ2000	Dist	dRVel	rmag	RMAG	g-r	mu	Mass	Ha	Ref	SimbadName
 	 	 	deg	deg	kpc	km/s	mag	mag	mag	mag/arcs2	[Msun]	 	 	
--------	-----------	-------------------	--------	--------	---	----	-----	-----	-----	-----	-----	-	------	------------------------
       1	UGC 00903  	LS-432563-224      	020.7772	+17.8916	290	  -1	17.06	-15.9	 0.26	23.57	 7.89	Y	ALFALF	DELS 8000432563000226
       2	UGC 00903  	LS-429811-3398     	020.2850	+17.6022	105	 -78	17.26	-15.7	 0.45	24.04	 8.02	Y	MMT   	DELS 8000429811003396
       3	UGC 00903  	LS-431187-1672     	020.3280	+17.7539	133	 -70	18.13	-14.8	 0.33	24.24	 7.54	Y	MMT   	DELS 8000431187001734
       4	UGC 00903  	LS-429812-2469     	020.5362	+17.5279	 70	  50	18.93	-14.0	 0.21	23.90	 7.08	Y	MMT   	DELS 8000429812002626
       5	NGC 1015   	DES-313240666      	039.9254	-01.4187	252	  -9	16.91	-15.9	 0.42	21.04	 8.09	Y	MMT   	DES 313240666
       6	NGC 1015   	DES-310691517      	039.5360	-01.3965	 50	-119	20.24	-12.6	 0.19	23.82	 6.51	Y	AAT   	DES 310691517
       7	NGC 1309   	DES-353757883      	050.4652	-15.7104	189	-106	14.83	-17.9	 0.36	22.76	 8.80	Y	6dF   	DES 353757883
       8	NGC 1309   	DES-350665706      	050.1913	-15.5749	220	-244	17.50	-15.2	 0.37	22.03	 7.74	Y	AAT   	DES 350665706
       9	NGC 1309   	DES-353742769      	050.9464	-15.4004	242	  16	17.74	-15.0	 0.51	22.33	 7.79	N	AAT   	DES 353742769
      10	PGC 013646 	DES-371747881      	055.3397	-13.1446	248	  55	15.97	-16.6	 0.33	20.75	 8.24	Y	AAT   	DES 371747881
      11	PGC 013646 	DES-373383928      	055.5682	-13.2170	189	-127	16.57	-16.0	 0.31	21.14	 7.97	Y	AAT   	DES 373383928
      12	PGC 013646 	DES-373393030      	055.5841	-13.4218	292	-175	17.44	-15.1	 0.37	21.95	 7.69	Y	AAT   	DES 373393030
      13	ESO 121-026	DES-467669052      	095.7756	-59.5691	153	  32	15.81	-16.9	 0.22	21.76	 8.26	Y	6dF   	DES 467669052
      14	ESO 121-026	DES-467510764      	095.7327	-59.6675	108	  74	19.20	-13.5	 0.25	23.19	 6.94	Y	AAT   	DES 467510764
      15	NGC 2543   	NSA-162577         	123.2432	+36.1984	 37	  18	15.34	-17.6	 0.30	21.42	 8.61	Y	SDSS  	NSAID v1 162577
      16	NGC 2543   	NSA-162596         	123.6499	+36.4344	246	  -8	15.96	-16.9	 0.33	24.96	 8.39	Y	SDSS  	NSAID v1 162596
      17	UGC 04906  	NSA-78947          	139.4972	+52.7426	160	  65	14.41	-18.4	 0.42	22.07	 9.06	Y	SDSS  	NSAID v1 78947
      18	UGC 04906  	NSA-648311         	139.1897	+53.4429	296	 -45	14.42	-18.4	 0.21	19.47	 8.84	Y	SDSS  	NSAID v1 648311
      19	UGC 04906  	NSA-78956          	139.4444	+53.2935	189	 -22	15.39	-17.4	 0.29	22.33	 8.54	Y	SDSS  	NSAID v1 78956
      20	UGC 04906  	LS-595052-1698     	139.2389	+53.0101	 68	-209	16.69	-16.1	 0.43	22.66	 8.17	Y	MMT   	DELS 8001595052001770
