Name [-]	RA_resolved [deg, J2000]	DE_resolved [deg, J2000]	name_resolver [-]	match_sep [arcsec]	Ks_total [mag]	e_Ks_total [mag]	Ks_catalogue [-]	Ks_column [-]	Ks_extinction_corrected [yes/no]	xsc_2MASX_id [-]	xsc_K.ext [mag]	xsc_e_K.ext [mag]	xsc_r.ext [arcsec]	mrs_Ktmag [mag]	mrs_sep [arcsec]	mrs_CAT_id [-]	leda_kt [mag]	leda_e_kt [mag]	atlas3d_KMAG_abs [mag]	atlas3d_Dist [Mpc]	atlas3d_mK_apparent [mag] (RECONSTRUCTED = KMAG + 5log10(Dist*1e5))	atlas3d_minus_ours [mag]	flags [-]
ESO3060170	85.027796	-40.836477	stras	0.14	9.523	0.064	VII/233/xsc	K.ext (2MASS k_m_ext)	no	05400667-4050114	9.523	0.064	79.59	9.511	0.12	ESO_306-_G_017							
IC1262	263.258407	43.759668	stras	0.30	10.358	0.054	VII/233/xsc	K.ext (2MASS k_m_ext)	no	17330202+4345345	10.358	0.054	52.08	10.351	0.18	IC_1262	10.44	0.13					
IC1459	344.294195	-36.462221	stras	1.33	6.805	0.025	VII/233/xsc	K.ext (2MASS k_m_ext)	no	22571068-3627449	6.805	0.025	195.10	6.799	1.35	g2257106-362744	6.82	0.07					
IC1633	17.481454	-45.931140	stras	0.59	8.396	0.025	VII/233/xsc	K.ext (2MASS k_m_ext)	no	01095559-4555523	8.396	0.025	84.61	8.392	0.38	g0109556-455552	8.42	0.04					
IC4296	204.162636	-33.965854	stras	0.34	7.502	0.021	VII/233/xsc	K.ext (2MASS k_m_ext)	no	13363905-3357572	7.502	0.021	109.33	7.479	0.19	IC_4296	7.53	0.04					
IC5267	344.306550	-43.396142	stras	0.00	7.454	0.034	VII/233/xsc	K.ext (2MASS k_m_ext)	no	22571357-4323461	7.454	0.034	170.30	7.450	0.01	g2257135-432346	7.48	0.09					
IC5358	356.937953	-28.140736	stras	0.86	9.582	0.061	VII/233/xsc	K.ext (2MASS k_m_ext)	no	23474504-2808265	9.582	0.061	88.10	9.575	0.72	g2347451-280826	9.72	0.20					
NGC315	14.453681	30.352448	stras	0.64	7.955	0.016	VII/233/xsc	K.ext (2MASS k_m_ext)	no	00574891+3021083	7.955	0.016	91.96	7.932	0.44	NGC_0315	7.98	0.04					
NGC326	14.594731	26.865533	stras	3.00	10.097	0.052	VII/233/xsc	K.ext (2MASS k_m_ext)	no	00582263+2651586	10.097	0.052	63.79	10.073	2.95	NGC_0326_NED01	10.16	0.11					
NGC383	16.854020	32.412537	stras	0.34	8.481	0.023	VII/233/xsc	K.ext (2MASS k_m_ext)	no	01072493+3224452	8.481	0.023	71.31	8.456	0.20	NGC_0383	8.51	0.04					
NGC499	20.797898	33.460182	stras	0.58	8.735	0.019	VII/233/xsc	K.ext (2MASS k_m_ext)	no	01231145+3327362	8.735	0.019	67.95	8.710	0.37	NGC_0499	8.76	0.04					
NGC507	20.916458	33.256172	stras	0.01	8.302	0.023	VII/233/xsc	K.ext (2MASS k_m_ext)	no	01233995+3315222	8.302	0.023	83.62	8.280	0.19	NGC_0507	8.31	0.03					
NGC533	21.380865	1.759232	stras	0.50	8.444	0.027	VII/233/xsc	K.ext (2MASS k_m_ext)	no	01253143+0145335	8.444	0.027	87.27	8.410	0.73	NGC_0533	8.45	0.03					
NGC708	28.193675	36.151814	stras	0.00	8.574	0.026	VII/233/xsc	K.ext (2MASS k_m_ext)	no	01524648+3609065	8.574	0.026	87.70	8.542	0.08	NGC_0708	8.59	0.05					
NGC720	28.252179	-13.738681	stras	0.01	7.271	0.024	VII/233/xsc	K.ext (2MASS k_m_ext)	no	01530052-1344192	7.271	0.024	182.50	7.265	0.01	g0153005-134419	7.29	0.06					
NGC741	29.096800	5.626400	stras	35.04	8.295	0.020	VII/233/xsc	K.ext (2MASS k_m_ext)	no	01562095+0537437	8.295	0.020	85.00	8.276	35.00	NGC_0741	8.31	0.03					large_sep_35.0arcsec;offset_match_corroborated_by_name_lookup
NGC821	32.088066	10.994953	stras	0.36	7.900	0.019	VII/233/xsc	K.ext (2MASS k_m_ext)	no	02082114+1059415	7.900	0.019	102.33	7.861	0.13	NGC_0821	7.92	0.03					
NGC1023	40.100056	39.063240	stras	0.04	6.238	0.021	VII/233/xsc	K.ext (2MASS k_m_ext)	no	02402401+3903477	6.238	0.021	311.70	6.217	0.04	NGC_1023	6.26	0.07	-24.01	11.1	6.217	-0.021	
NGC1265	49.565308	41.857761	stras	43.54	8.760	0.100	HyperLeda	kt (total K-magnitude)	no	03181953+4151218	12.346	0.085	16.48				8.76	0.10					large_sep_43.5arcsec;FALLBACK_hyperleda;xsc_match_rejected_dK=+3.59mag
NGC1266	49.003225	-2.427174	stras	0.80	9.479	0.047	VII/233/xsc	K.ext (2MASS k_m_ext)	no	03160074-0225385	9.479	0.047	75.20	9.444	0.80	g0316007-022538	9.54	0.10	-22.93	29.9	9.448	-0.031	
