name,in_void_SDSS,kappa_2phase
000190,1.0,0.0001281483318882332
010010,0.0,0.00012348390783904257
010026,1.0,9.0742646498499e-06
020027,0.0,1.1169091512347612e-05
120225,0.0,6.658292999122962e-05
130308,0.0,3.043691688687167e-05
140181,1.0,6.376660080529747e-05
160099,1.0,6.271252277221943e-05
1981B,0.0,9.075508677652192e-07
1990N,0.0,1.5804779079664836e-06
1991M,1.0,3.43640524045927e-06
1992G,1.0,2.438714608725591e-06
1992P,0.0,1.519166802338648e-05
1994DRichmond,0.0,6.624942753901797e-07
1994M,0.0,4.3173781926447895e-05
1994S,1.0,1.448218075446236e-05
1994ae,0.0,2.1583975555163717e-06
1995D,0.0,4.49819852718514e-06
1995al,1.0,2.263748811139337e-06
1996C,1.0,2.5201940822885945e-05
1997Y,0.0,2.0312679519792602e-05
1998ab,1.0,2.661354820693514e-05
1998aq,0.0,1.0086686988787803e-06
1999aa,0.0,8.653898177390781e-06
1999ac,1.0,4.077571267602381e-06
1999cc,0.0,6.906667675920839e-06
1999dg,1.0,-5.694827451534448e-06
2001V,0.0,1.0255261800646845e-05
2001ah,0.0,2.1144291606504778e-05
2001bg,1.0,2.737379006597566e-06
2001cj,0.0,1.5888719272993482e-05
2001ck,1.0,1.6197454868011263e-05
2001fe,0.0,8.121340811519231e-07
2002G,0.0,6.655122272578348e-05
2002bf,0.0,-7.115274338762601e-06
2002de,0.0,1.0982425742635949e-05
2003W,0.0,1.026873665903155e-06
2003cq,0.0,7.007140362897378e-06
2003du,0.0,3.261554765077842e-06
2003kc,1.0,-1.0572969650293672e-05
2004L,0.0,2.028508628036644e-05
2004as,0.0,2.221986604892492e-05
2004at,1.0,1.5244493360448788e-06
2004bg,0.0,-1.5445301847234369e-06
2004bk,0.0,2.10134001545486e-07
2004br,0.0,4.3173781926447895e-05
2004gs,0.0,1.5022857704421177e-05
2004gu,0.0,-2.083780224694636e-05
2005M,0.0,1.822955248809632e-05
2005ag,0.0,2.422715191244114e-05
2005bg,0.0,1.994717132826799e-05
2005ki,0.0,1.7404625831061966e-06
2005mc,0.0,3.365059474320228e-05
2005ms,0.0,-4.947096816102406e-06
2006S,0.0,2.6025735013111145e-05
2006ac,0.0,2.053133428413416e-05
2006al,0.0,8.823548022692618e-05
2006az,0.0,6.004541633974166e-06
2006bt,0.0,-3.833588144048043e-07
2006bw,0.0,4.730486471078503e-06
2006cf,0.0,1.6212597296803214e-05
2006cp,0.0,2.2244039048364845e-05
2006cq,0.0,6.216646711143375e-05
2006te,0.0,-1.0388570528365546e-05
2007F,0.0,1.9093079093342175e-05
2007O,0.0,4.582794509637998e-05
2007af,1.0,2.7809596239251793e-06
2007ba,0.0,-1.129764924184948e-05
2007bc,0.0,-2.503266755804285e-06
2007ci,0.0,1.8906348335708055e-05
2007gi,0.0,1.887985835591651e-06
2007hu,0.0,1.3927483094888148e-05
2007is,0.0,2.150347208393622e-05
2007ss,1.0,1.0365134074356101e-05
2007sw,0.0,1.4121746547390195e-05
2007ux,1.0,1.826353260971344e-05
2008050,1.0,-4.68659711316033e-05
2008051,0.0,-4.407340334703615e-06
2008Y,0.0,0.00010581102361882752
2008Z,0.0,-4.532134150552551e-06
2008ar,0.0,2.2083740888073248e-05
2008bf,0.0,3.2374040538286045e-05
2008bz,0.0,2.1411544327235855e-05
2008eq,0.0,0.00012806615695299745
2008hv,0.0,1.363732453112387e-05
2009al,0.0,8.708247951995365e-06
2009an,0.0,6.267261439685762e-06
2009bv,0.0,7.013513028285395e-05
2009cz,0.0,-1.889382265622421e-07
2009dc,0.0,-2.4107137831140544e-06
2009do,1.0,1.0185285462070228e-05
2009eu,0.0,1.7063042757785972e-05
2009fv,0.0,2.158904361846522e-05
2009gf,0.0,5.95668227197841e-06
2009kq,0.0,2.724753240081941e-06
2009na,1.0,-6.0311247389616885e-06
2010Y,0.0,9.625745283612504e-06
2010ag,0.0,1.2670709752594571e-05
2010ai,0.0,9.30666366783322e-06
2010ao,0.0,1.279983681080203e-06
2010cr,0.0,-3.057107976272776e-06
2010dt,0.0,-8.121306857062057e-06
2011ao,1.0,3.68159864190358e-06
2011by,0.0,1.0086686988787803e-06
2011dl,0.0,5.171946476828691e-06
2011fe,0.0,1.1038831455357923e-07
2012bh,0.0,1.411855723947005e-05
2012cg,0.0,4.857447039137253e-07
2012ht,0.0,1.6010474765048224e-06
2013gq,0.0,8.587198063491939e-06
2013gs,1.0,-2.2728716644497927e-06
2014ai,0.0,-3.1569374721901383e-06
2016afk,0.0,7.222243009967965e-05
2016coj,0.0,1.7703805426444192e-06
2016ffh,1.0,1.7619876605455493e-05
2019ein,0.0,5.1782471782246785e-06
2019np,1.0,2.1290768426780034e-06
350316,1.0,-0.00017441823301310477
360156,0.0,5.58527208741724e-05
370066,0.0,-0.00016720888798459394
370333,0.0,-2.259283676136311e-05
370356,0.0,1.411855723947005e-05
370566,0.0,-6.295884775580149e-05
470043,1.0,-0.00012055984306588133
490007,0.0,7.155101317281224e-05
500038,1.0,0.00014045766783380806
590194,1.0,-0.00023992890530043248
ASASSN-15hg,0.0,3.0118575226514718e-05
ASASSN-15jl,0.0,4.570010472833057e-05
ASASSN-15jt,0.0,1.2556415327503165e-05
ASASSN-15la,1.0,2.5989878295877566e-05
ASASSN-15lg,0.0,-3.367747945927792e-06
ASASSN-15lu,0.0,4.137397770240959e-05
ASASSN-15mf,0.0,5.975974103200077e-06
ASASSN-15mg,1.0,5.1602185734689535e-05
ASASSN-15mi,0.0,3.446614612047849e-05
ASASSN-15np,0.0,1.3130091337099775e-06
ASASSN-15nq,0.0,3.1609305118917066e-05
ASASSN-15so,0.0,4.417970736863298e-06
ASASSN-15uv,1.0,9.54486286900287e-06
ASASSN-16av,0.0,3.2994816348664614e-05
ASASSN-16bq,0.0,9.839778588179462e-06
ASASSN-16ct,0.0,1.0733586866606191e-05
ASASSN-16db,0.0,-2.991962640351643e-06
ASASSN-16es,0.0,2.6384566325508363e-05
ASASSN-16fs,0.0,-1.5717864863344944e-05
ASASSN-16hc,0.0,-4.5570598855750405e-06
ASASSN-17at,0.0,6.831284845485665e-06
ASASSN-17eb,1.0,-5.359465598060978e-05
AT2016bln,0.0,-1.4376503041040355e-06
AT2016cor,1.0,-3.511795617667249e-05
AT2016ews,0.0,-3.246543683223534e-05
AT2017cfb,0.0,-1.744219862904988e-06
AT2017cfc,0.0,2.4956976932316794e-05
AT2017oz,1.0,-3.511237895087596e-05
AT2017po,0.0,1.0452191049360527e-05
ATLAS16cpu,1.0,1.7619876605455493e-05
ATLAS17ajs,0.0,2.1734370848680793e-05
ATLAS17bas,0.0,-3.7678344034725074e-07
CSS160428,0.0,3.720311269212612e-05
Gaia16acv,1.0,7.935441997111869e-05
Gaia16aki,0.0,-6.191348973174148e-05
PS15aii,1.0,4.262425445795482e-05
PS15bdr,1.0,2.6799374561389844e-05
PS15cms,1.0,6.476529873880124e-05
PS15mt,0.0,-3.702938596478266e-05
PS16aer,0.0,6.595807340629761e-05
PS16axi,1.0,7.036988719576223e-05
PS16ayd,0.0,7.501456696349308e-05
PS16cqa,0.0,-3.8851075506825304e-05
PS16el,0.0,5.150929225811599e-05
PS16fa,0.0,5.044317962203513e-05
PS17bii,0.0,-4.0944175243756924e-05
PS17tn,0.0,-2.307301336225859e-05
PS17yt,1.0,3.7117862898599e-05
PSNJ0859349,0.0,-1.3214670793615858e-05
PSNJ1204051,1.0,4.420609994003548e-06
PSNJ1602512,1.0,2.1697117303686112e-05
PTF10icb,0.0,5.985313542896719e-06
PTSS17-niq,1.0,-5.804297908810873e-05
SN2016coj,0.0,1.7703805426444192e-06
SN2016esh,0.0,4.07702660365254e-05
SN2016ixf,0.0,8.614874862788103e-05
SN2017cii,0.0,1.3950979764644123e-05
SN2017ckx,0.0,3.878068669374493e-05
SN2017coa,0.0,2.1477113750867034e-05
SN2017cpu,0.0,-1.952831662905464e-05
SN2017hn,0.0,2.282888339263708e-07
SN2017mf,0.0,3.860105797901841e-05
SN2017ms,1.0,-1.005839642103693e-05
SNF20080514-002,0.0,-4.330292194115315e-06
iPTF14bdn,0.0,1.0513037134257843e-05
iPTF16auf,0.0,4.284993799331892e-06
iPTF17dz,0.0,2.8284455376236433e-05
PGC20968,0.0,0.0002082036725113574
PGC21072,0.0,0.00015399123025952512
PGC21073,0.0,1.9009304831334416e-07
PGC21086,1.0,3.4881210193394184e-05
PGC21226,0.0,0.00019577735750561502
PGC21291,0.0,0.0001464282355487341
PGC21300,0.0,1.9408280340634703e-05
PGC21354,0.0,0.00020380155923821995
PGC21399,0.0,1.3629474644697175e-05
PGC21402,0.0,1.8567448716526982e-05
PGC21431,1.0,2.4486289322399862e-05
PGC21437,0.0,5.357197196751797e-05
PGC21475,0.0,1.3436841378226876e-05
PGC21487,0.0,8.74677316264444e-05
PGC21493,0.0,9.051953401454461e-05
PGC21515,0.0,4.421906689972285e-05
PGC21523,0.0,3.3571208787557855e-05
PGC21529,0.0,1.3783221217758982e-05
PGC21549,0.0,5.965514849740942e-05
PGC21558,0.0,9.521553792967578e-06
PGC21559,0.0,4.626030170710038e-05
PGC21577,0.0,4.7902970590442635e-05
PGC21579,0.0,7.86363494151734e-05
PGC21580,0.0,5.624324760207713e-05
PGC21585,0.0,2.1123553463684223e-07
PGC21598,0.0,8.955733791411349e-05
PGC21625,0.0,7.290424593113575e-05
PGC21654,0.0,4.532462916663084e-05
PGC21657,0.0,1.2462211142972959e-05
PGC21673,0.0,2.019459342552279e-05
PGC21676,0.0,1.5587901910673402e-05
PGC21682,0.0,6.883520079408111e-05
PGC21722,0.0,1.84355596804557e-05
PGC21723,0.0,2.5942115129193512e-05
